video,true_label,raw_prediction,mapped_prediction,result
cartwheel_0_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_10_modified.mp4,cartwheel,somersaulting,other,incorrect
cartwheel_11_modified.mp4,cartwheel,high kick,other,incorrect
cartwheel_12_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_14_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_15_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_16_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_19_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_20_modified.mp4,cartwheel,somersaulting,other,incorrect
cartwheel_21_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_22_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_24_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_25_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_27_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_28_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_4_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_6_modified.mp4,cartwheel,yoga,other,incorrect
cartwheel_8_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_9_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
jump_0_modified.mp4,jump,stretching leg,other,incorrect
jump_10_modified.mp4,jump,yoga,other,incorrect
jump_11_modified.mp4,jump,jumpstyle dancing,jump,correct
jump_12_modified.mp4,jump,squat,other,incorrect
jump_14_modified.mp4,jump,contact juggling,other,incorrect
jump_15_modified.mp4,jump,passing American football (not in game),other,incorrect
jump_16_modified.mp4,jump,snatch weight lifting,other,incorrect
jump_19_modified.mp4,jump,throwing ball,other,incorrect
jump_20_modified.mp4,jump,riding unicycle,other,incorrect
jump_21_modified.mp4,jump,riding unicycle,other,incorrect
jump_22_modified.mp4,jump,snatch weight lifting,other,incorrect
jump_24_modified.mp4,jump,high kick,other,incorrect
jump_25_modified.mp4,jump,jogging,run,incorrect
jump_27_modified.mp4,jump,tai chi,other,incorrect
jump_28_modified.mp4,jump,riding unicycle,other,incorrect
jump_4_modified.mp4,jump,gymnastics tumbling,other,incorrect
jump_6_modified.mp4,jump,lunge,other,incorrect
jump_8_modified.mp4,jump,jogging,run,incorrect
jump_9_modified.mp4,jump,juggling soccer ball,other,incorrect
run_0_modified.mp4,run,jogging,run,correct
run_10_modified.mp4,run,yoga,other,incorrect
run_11_modified.mp4,run,jumpstyle dancing,jump,incorrect
run_12_modified.mp4,run,yoga,other,incorrect
run_14_modified.mp4,run,catching or throwing frisbee,other,incorrect
run_15_modified.mp4,run,jumpstyle dancing,jump,incorrect
run_16_modified.mp4,run,jogging,run,correct
run_19_modified.mp4,run,catching or throwing frisbee,other,incorrect
run_20_modified.mp4,run,stretching leg,other,incorrect
run_21_modified.mp4,run,riding unicycle,other,incorrect
run_22_modified.mp4,run,jumpstyle dancing,jump,incorrect
run_24_modified.mp4,run,jumpstyle dancing,jump,incorrect
run_25_modified.mp4,run,jogging,run,correct
run_27_modified.mp4,run,jogging,run,correct
run_28_modified.mp4,run,yoga,other,incorrect
run_4_modified.mp4,run,jogging,run,correct
run_6_modified.mp4,run,jogging,run,correct
run_8_modified.mp4,run,tai chi,other,incorrect
run_9_modified.mp4,run,jogging,run,correct
walk_0_modified.mp4,walk,catching or throwing frisbee,other,incorrect
walk_10_modified.mp4,walk,slacklining,other,incorrect
walk_11_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_12_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_14_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_15_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_16_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_19_modified.mp4,walk,jogging,run,incorrect
walk_20_modified.mp4,walk,jogging,run,incorrect
walk_21_modified.mp4,walk,riding unicycle,other,incorrect
walk_22_modified.mp4,walk,riding unicycle,other,incorrect
walk_24_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_25_modified.mp4,walk,lunge,other,incorrect
walk_27_modified.mp4,walk,jogging,run,incorrect
walk_28_modified.mp4,walk,tai chi,other,incorrect
walk_4_modified.mp4,walk,jogging,run,incorrect
walk_6_modified.mp4,walk,jumpstyle dancing,jump,incorrect
walk_8_modified.mp4,walk,riding unicycle,other,incorrect
walk_9_modified.mp4,walk,jumpstyle dancing,jump,incorrect
