video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_1_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
cartwheel_1_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'bow']"
cartwheel_1_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'play catch', 'other', 'other', 'juggle']"
cartwheel_1_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_1_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'bow']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'play catch', 'other', 'juggle', 'other']"
cartwheel_2_initial.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_2_modified_african.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_2_modified_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_2_modified_hispanic.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_2_modified_indian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_2_modified_white.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'throw', 'play catch']"
cartwheel_3_initial.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'play catch', 'other', 'throw']"
cartwheel_3_modified_african.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_3_modified_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_3_modified_hispanic.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_3_modified_indian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'play catch', 'other', 'throw']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_4_initial.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'bow', 'play catch']"
cartwheel_4_modified_african.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'bow', 'other', 'throw']"
cartwheel_4_modified_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'bow', 'play catch']"
cartwheel_4_modified_hispanic.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'bow', 'other', 'play catch']"
cartwheel_4_modified_indian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'bow', 'throw']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'bow', 'play catch']"
cartwheel_4_modified_white.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'bow', 'throw']"
cartwheel_5_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
cartwheel_5_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'juggle']"
cartwheel_5_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
cartwheel_5_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'juggle']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
cartwheel_5_modified_white.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
cartwheel_6_initial.mp4,cartwheel,catching or throwing baseball,play catch,incorrect,"['play catch', 'stretch', 'other', 'golf', 'other']"
cartwheel_6_modified_african.mp4,cartwheel,catching or throwing baseball,play catch,incorrect,"['play catch', 'golf', 'other', 'golf', 'other']"
cartwheel_6_modified_asian.mp4,cartwheel,catching or throwing baseball,play catch,incorrect,"['play catch', 'other', 'other', 'stretch', 'other']"
cartwheel_6_modified_indian.mp4,cartwheel,catching or throwing baseball,play catch,incorrect,"['play catch', 'other', 'other', 'stretch', 'bow']"
cartwheel_6_modified_middle_eastern.mp4,cartwheel,catching or throwing baseball,play catch,incorrect,"['play catch', 'stretch', 'other', 'other', 'other']"
cartwheel_6_modified_south_east_asian.mp4,cartwheel,catching or throwing baseball,play catch,incorrect,"['play catch', 'stretch', 'other', 'other', 'golf']"
cartwheel_6_modified_white.mp4,cartwheel,bandaging,other,incorrect,"['other', 'stretch', 'play catch', 'other', 'juggle']"
cartwheel_7_initial.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_7_modified_african.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_7_modified_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_7_modified_hispanic.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_7_modified_indian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_7_modified_middle_eastern.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_7_modified_white.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
cartwheel_8_initial.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_8_modified_african.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_8_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_8_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_8_modified_indian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_8_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_8_modified_south_east_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'bow']"
cartwheel_9_initial.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_9_modified_asian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_9_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_9_modified_indian.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_9_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_9_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
cartwheel_9_modified_white.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
celebrate_0_initial.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'bow']"
celebrate_0_modified_african.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'juggle', 'other']"
celebrate_0_modified_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'bow']"
celebrate_0_modified_hispanic.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'other', 'juggle']"
celebrate_0_modified_indian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'juggle', 'other']"
celebrate_0_modified_middle_eastern.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'bow']"
celebrate_0_modified_south_east_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'bow', 'other']"
celebrate_1_initial.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_1_modified_african.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_1_modified_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_1_modified_hispanic.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_1_modified_indian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_1_modified_middle_eastern.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_1_modified_south_east_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'other', 'actions with ball']"
celebrate_2_initial.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'throw', 'other', 'play catch', 'other']"
celebrate_2_modified_african.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'play catch', 'other']"
celebrate_2_modified_asian.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'play catch', 'other']"
celebrate_2_modified_hispanic.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'play catch', 'other']"
celebrate_2_modified_indian.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'play catch', 'other']"
celebrate_2_modified_middle_eastern.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'play catch', 'other']"
celebrate_2_modified_white.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'throw', 'play catch', 'other']"
celebrate_3_initial.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
celebrate_3_modified_african.mp4,celebrate,catching or throwing baseball,play catch,incorrect,"['play catch', 'other', 'other', 'actions with ball', 'other']"
celebrate_3_modified_asian.mp4,celebrate,catching or throwing baseball,play catch,incorrect,"['play catch', 'other', 'other', 'other', 'actions with ball']"
celebrate_3_modified_hispanic.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'play catch', 'other', 'actions with ball', 'other']"
celebrate_3_modified_indian.mp4,celebrate,catching or throwing baseball,play catch,incorrect,"['play catch', 'other', 'other', 'other', 'actions with ball']"
celebrate_3_modified_middle_eastern.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
celebrate_3_modified_south_east_asian.mp4,celebrate,catching or throwing baseball,play catch,incorrect,"['play catch', 'other', 'other', 'actions with ball', 'other']"
celebrate_4_initial.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_4_modified_african.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'actions with ball']"
celebrate_4_modified_asian.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_4_modified_hispanic.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_4_modified_indian.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_4_modified_south_east_asian.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_4_modified_white.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_5_initial.mp4,celebrate,mowing lawn,other,incorrect,"['other', 'other', 'play catch', 'other', 'actions with ball']"
