video,ground_truth,raw_prediction,mapped_prediction,result
cartwheel_0_initial.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_0_modified_african.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_0_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_0_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_0_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_0_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_0_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_1_initial.mp4,cartwheel,jog,jog,incorrect
cartwheel_1_modified_african.mp4,cartwheel,jog,jog,incorrect
cartwheel_1_modified_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_1_modified_hispanic.mp4,cartwheel,jog,jog,incorrect
cartwheel_1_modified_indian.mp4,cartwheel,jog,jog,incorrect
cartwheel_1_modified_middle_eastern.mp4,cartwheel,jog,jog,incorrect
cartwheel_1_modified_south_east_asian.mp4,cartwheel,cry,cry,incorrect
cartwheel_2_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_initial.mp4,cartwheel,jog,jog,incorrect
cartwheel_3_modified_african.mp4,cartwheel,jog,jog,incorrect
cartwheel_3_modified_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_3_modified_hispanic.mp4,cartwheel,jog,jog,incorrect
cartwheel_3_modified_indian.mp4,cartwheel,jog,jog,incorrect
cartwheel_3_modified_middle_eastern.mp4,cartwheel,jog,jog,incorrect
cartwheel_3_modified_south_east_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_initial.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_modified_african.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_modified_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_modified_hispanic.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_modified_indian.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_modified_south_east_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_4_modified_white.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_initial.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_modified_african.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_modified_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_modified_hispanic.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_modified_middle_eastern.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_modified_south_east_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_5_modified_white.mp4,cartwheel,jog,jog,incorrect
cartwheel_6_initial.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_6_modified_african.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_6_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_6_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_6_modified_middle_eastern.mp4,cartwheel,hug,hug,incorrect
cartwheel_6_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_6_modified_white.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_indian.mp4,cartwheel,jog,jog,incorrect
cartwheel_7_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_white.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_initial.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_modified_african.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_modified_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_modified_hispanic.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_modified_indian.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_modified_middle_eastern.mp4,cartwheel,jog,jog,incorrect
cartwheel_8_modified_south_east_asian.mp4,cartwheel,jog,jog,incorrect
cartwheel_9_initial.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_9_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_9_modified_hispanic.mp4,cartwheel,jog,jog,incorrect
cartwheel_9_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_9_modified_middle_eastern.mp4,cartwheel,jog,jog,incorrect
cartwheel_9_modified_south_east_asian.mp4,cartwheel,hug,hug,incorrect
cartwheel_9_modified_white.mp4,cartwheel,jog,jog,incorrect
celebrate_0_initial.mp4,celebrate,yoga,yoga,incorrect
celebrate_0_modified_african.mp4,celebrate,yoga,yoga,incorrect
celebrate_0_modified_asian.mp4,celebrate,hug,hug,incorrect
celebrate_0_modified_hispanic.mp4,celebrate,hug,hug,incorrect
celebrate_0_modified_indian.mp4,celebrate,yoga,yoga,incorrect
celebrate_0_modified_middle_eastern.mp4,celebrate,hug,hug,incorrect
celebrate_0_modified_south_east_asian.mp4,celebrate,hug,hug,incorrect
