video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']",camera_far,autumn_hockey,white
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'bend', 'other']",camera_far,autumn_hockey,african
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']",camera_far,autumn_hockey,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']",camera_far,autumn_hockey,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'other']",camera_far,autumn_hockey,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'throw', 'other', 'jump']",camera_far,autumn_hockey,south_east_asian
cartwheel_1_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'throw', 'other']",camera_far,autumn_hockey,white
cartwheel_1_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'other', 'other']",camera_far,autumn_hockey,african
cartwheel_1_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'other', 'other']",camera_far,autumn_hockey,asian
cartwheel_1_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_1_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'other', 'other']",camera_far,autumn_hockey,indian
cartwheel_1_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'throw', 'cartwheel', 'other']",camera_far,autumn_hockey,middle_eastern
cartwheel_1_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'other', 'throw', 'cartwheel']",camera_far,autumn_hockey,south_east_asian
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']",camera_far,autumn_hockey,south_east_asian
cartwheel_2_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'golf']",camera_far,autumn_hockey,african
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']",camera_far,autumn_hockey,asian
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_2_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']",camera_far,autumn_hockey,indian
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'other']",camera_far,autumn_hockey,middle_eastern
cartwheel_2_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'other']",camera_far,autumn_hockey,white
cartwheel_3_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'golf', 'jump']",camera_far,autumn_hockey,white
cartwheel_3_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'jump', 'other']",camera_far,autumn_hockey,african
cartwheel_3_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'golf', 'jump']",camera_far,autumn_hockey,asian
cartwheel_3_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'jump']",camera_far,autumn_hockey,hispanic
cartwheel_3_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'jump', 'other']",camera_far,autumn_hockey,indian
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'jump', 'golf']",camera_far,autumn_hockey,middle_eastern
cartwheel_3_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'jump']",camera_far,autumn_hockey,south_east_asian
cartwheel_4_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'jump']",camera_far,autumn_hockey,middle_eastern
cartwheel_4_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']",camera_far,autumn_hockey,african
cartwheel_4_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']",camera_far,autumn_hockey,asian
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_4_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']",camera_far,autumn_hockey,indian
cartwheel_4_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']",camera_far,autumn_hockey,south_east_asian
cartwheel_4_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'other']",camera_far,autumn_hockey,white
cartwheel_5_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'golf']",camera_far,autumn_hockey,indian
cartwheel_5_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'golf']",camera_far,autumn_hockey,african
cartwheel_5_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'bend']",camera_far,autumn_hockey,asian
cartwheel_5_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'throw']",camera_far,autumn_hockey,hispanic
cartwheel_5_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'throw', 'jump']",camera_far,autumn_hockey,middle_eastern
cartwheel_5_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'jump', 'golf']",camera_far,autumn_hockey,south_east_asian
cartwheel_5_modified_white.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'throw', 'jump']",camera_far,autumn_hockey,white
cartwheel_6_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'golf', 'bow']",camera_far,autumn_hockey,hispanic
cartwheel_6_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'bow']",camera_far,autumn_hockey,african
cartwheel_6_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'golf', 'other']",camera_far,autumn_hockey,asian
cartwheel_6_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'bow']",camera_far,autumn_hockey,indian
cartwheel_6_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'bow', 'golf']",camera_far,autumn_hockey,middle_eastern
cartwheel_6_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'other', 'other', 'bow']",camera_far,autumn_hockey,south_east_asian
cartwheel_6_modified_white.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'bow', 'golf']",camera_far,autumn_hockey,white
cartwheel_7_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'other']",camera_far,autumn_hockey,south_east_asian
cartwheel_7_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'golf', 'other', 'jump']",camera_far,autumn_hockey,african
cartwheel_7_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'other']",camera_far,autumn_hockey,asian
cartwheel_7_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_7_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'golf', 'throw', 'other']",camera_far,autumn_hockey,indian
cartwheel_7_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'other']",camera_far,autumn_hockey,middle_eastern
cartwheel_7_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'golf', 'other', 'other']",camera_far,autumn_hockey,white
