video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,playing flute,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,juggling balls,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,playing trumpet,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,juggling balls,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,playing flute,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,playing trumpet,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,playing flute,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_initial.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_african.mp4,cartwheel,swinging legs,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_hispanic.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_indian.mp4,cartwheel,swinging legs,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_south_east_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_initial.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_african.mp4,cartwheel,swinging legs,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_hispanic.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_south_east_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_initial.mp4,cartwheel,swinging legs,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_hispanic.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_south_east_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_white.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_initial.mp4,cartwheel,swinging legs,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
