video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category
cartwheel_0_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'other']",camera_close,konzerthaus,white
cartwheel_0_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']",camera_close,konzerthaus,african
cartwheel_0_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']",camera_close,konzerthaus,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']",camera_close,konzerthaus,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,stretching arm,other,incorrect,"['other', 'other', 'other', 'other', 'other']",camera_close,konzerthaus,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']",camera_close,konzerthaus,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']",camera_close,konzerthaus,south_east_asian
cartwheel_10_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'cartwheel']",camera_close,konzerthaus,white
cartwheel_10_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'cartwheel']",camera_close,konzerthaus,african
cartwheel_10_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'other']",camera_close,konzerthaus,asian
cartwheel_10_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'other']",camera_close,konzerthaus,hispanic
cartwheel_10_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'cartwheel']",camera_close,konzerthaus,indian
cartwheel_10_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'other']",camera_close,konzerthaus,middle_eastern
