base_video,from,to,prediction_from,prediction_to,result_from,result_to
cartwheel_1,african,asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,african,asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,african,asian,cartwheeling,breakdancing,correct,incorrect
cartwheel_6,african,asian,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_8,african,asian,yoga,tai chi,correct,incorrect
cartwheel_1,african,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_14,african,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,african,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,african,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_6,african,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_8,african,hispanic,yoga,tai chi,correct,incorrect
cartwheel_1,african,indian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_6,african,indian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_1,african,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_14,african,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,african,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,african,middle_eastern,cartwheeling,breakdancing,correct,incorrect
cartwheel_20,african,middle_eastern,cartwheeling,breakdancing,correct,incorrect
cartwheel_6,african,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_8,african,middle_eastern,yoga,catching or throwing frisbee,correct,incorrect
cartwheel_1,african,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,african,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,african,south_east_asian,cartwheeling,breakdancing,correct,incorrect
cartwheel_19,african,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_20,african,south_east_asian,cartwheeling,breakdancing,correct,incorrect
cartwheel_6,african,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_24,african,south_east_asian,yoga,playing didgeridoo,correct,incorrect
yoga_8,african,south_east_asian,yoga,tai chi,correct,incorrect
cartwheel_1,african,white,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,african,white,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,african,white,cartwheeling,breakdancing,correct,incorrect
cartwheel_20,african,white,cartwheeling,breakdancing,correct,incorrect
cartwheel_6,african,white,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_8,african,white,yoga,catching or throwing frisbee,correct,incorrect
cartwheel_7,asian,african,cartwheeling,breakdancing,correct,incorrect
squat_19,asian,african,squat,lunge,correct,incorrect
cartwheel_14,asian,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_7,asian,hispanic,cartwheeling,breakdancing,correct,incorrect
squat_19,asian,hispanic,squat,lunge,correct,incorrect
cartwheel_7,asian,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_14,asian,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_20,asian,middle_eastern,cartwheeling,breakdancing,correct,incorrect
squat_19,asian,middle_eastern,squat,lunge,correct,incorrect
cartwheel_19,asian,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_20,asian,south_east_asian,cartwheeling,breakdancing,correct,incorrect
yoga_24,asian,south_east_asian,yoga,playing didgeridoo,correct,incorrect
cartwheel_20,asian,white,cartwheeling,breakdancing,correct,incorrect
cartwheel_20,hispanic,middle_eastern,cartwheeling,breakdancing,correct,incorrect
cartwheel_19,hispanic,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_20,hispanic,south_east_asian,cartwheeling,breakdancing,correct,incorrect
yoga_24,hispanic,south_east_asian,yoga,playing didgeridoo,correct,incorrect
cartwheel_20,hispanic,white,cartwheeling,breakdancing,correct,incorrect
squat_19,indian,african,squat,lunge,correct,incorrect
yoga_12,indian,african,yoga,tai chi,correct,incorrect
cartwheel_15,indian,asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,indian,asian,cartwheeling,breakdancing,correct,incorrect
yoga_12,indian,asian,yoga,tai chi,correct,incorrect
yoga_8,indian,asian,yoga,tai chi,correct,incorrect
cartwheel_14,indian,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,indian,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,indian,hispanic,cartwheeling,breakdancing,correct,incorrect
squat_19,indian,hispanic,squat,lunge,correct,incorrect
yoga_12,indian,hispanic,yoga,tai chi,correct,incorrect
yoga_8,indian,hispanic,yoga,tai chi,correct,incorrect
cartwheel_14,indian,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_15,indian,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,indian,middle_eastern,cartwheeling,breakdancing,correct,incorrect
cartwheel_20,indian,middle_eastern,cartwheeling,breakdancing,correct,incorrect
squat_19,indian,middle_eastern,squat,lunge,correct,incorrect
yoga_12,indian,middle_eastern,yoga,tai chi,correct,incorrect
yoga_8,indian,middle_eastern,yoga,catching or throwing frisbee,correct,incorrect
cartwheel_15,indian,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,indian,south_east_asian,cartwheeling,breakdancing,correct,incorrect
cartwheel_19,indian,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_20,indian,south_east_asian,cartwheeling,breakdancing,correct,incorrect
yoga_24,indian,south_east_asian,yoga,playing didgeridoo,correct,incorrect
yoga_8,indian,south_east_asian,yoga,tai chi,correct,incorrect
cartwheel_15,indian,white,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_16,indian,white,cartwheeling,breakdancing,correct,incorrect
cartwheel_20,indian,white,cartwheeling,breakdancing,correct,incorrect
yoga_12,indian,white,yoga,tai chi,correct,incorrect
yoga_8,indian,white,yoga,catching or throwing frisbee,correct,incorrect
cartwheel_7,middle_eastern,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_7,middle_eastern,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_7,middle_eastern,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_19,middle_eastern,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_24,middle_eastern,south_east_asian,yoga,playing didgeridoo,correct,incorrect
cartwheel_7,south_east_asian,african,cartwheeling,breakdancing,correct,incorrect
squat_19,south_east_asian,african,squat,lunge,correct,incorrect
yoga_12,south_east_asian,african,yoga,tai chi,correct,incorrect
yoga_12,south_east_asian,asian,yoga,tai chi,correct,incorrect
cartwheel_14,south_east_asian,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_7,south_east_asian,hispanic,cartwheeling,breakdancing,correct,incorrect
squat_19,south_east_asian,hispanic,squat,lunge,correct,incorrect
yoga_12,south_east_asian,hispanic,yoga,tai chi,correct,incorrect
cartwheel_7,south_east_asian,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_14,south_east_asian,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
squat_19,south_east_asian,middle_eastern,squat,lunge,correct,incorrect
yoga_12,south_east_asian,middle_eastern,yoga,tai chi,correct,incorrect
yoga_12,south_east_asian,white,yoga,tai chi,correct,incorrect
cartwheel_7,white,african,cartwheeling,breakdancing,correct,incorrect
squat_19,white,african,squat,lunge,correct,incorrect
cartwheel_14,white,hispanic,cartwheeling,gymnastics tumbling,correct,incorrect
cartwheel_7,white,hispanic,cartwheeling,breakdancing,correct,incorrect
squat_19,white,hispanic,squat,lunge,correct,incorrect
cartwheel_7,white,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_14,white,middle_eastern,cartwheeling,gymnastics tumbling,correct,incorrect
squat_19,white,middle_eastern,squat,lunge,correct,incorrect
cartwheel_19,white,south_east_asian,cartwheeling,gymnastics tumbling,correct,incorrect
yoga_24,white,south_east_asian,yoga,playing didgeridoo,correct,incorrect
