base_video,from,to,prediction_from,prediction_to,result_from,result_to
cartwheel_22,african,indian,cartwheeling,capoeira,correct,incorrect
squat_19,african,middle_eastern,squat,lunge,correct,incorrect
squat_19,african,white,squat,lunge,correct,incorrect
cartwheel_10,asian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,asian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,asian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,asian,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,asian,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,asian,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,asian,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,asian,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_22,asian,indian,cartwheeling,capoeira,correct,incorrect
squat_19,asian,middle_eastern,squat,lunge,correct,incorrect
squat_19,asian,white,squat,lunge,correct,incorrect
cartwheel_22,hispanic,indian,cartwheeling,capoeira,correct,incorrect
squat_19,hispanic,middle_eastern,squat,lunge,correct,incorrect
squat_19,hispanic,white,squat,lunge,correct,incorrect
cartwheel_11,indian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,indian,hispanic,cartwheeling,breakdancing,correct,incorrect
squat_19,indian,middle_eastern,squat,lunge,correct,incorrect
squat_19,indian,white,squat,lunge,correct,incorrect
cartwheel_10,middle_eastern,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,middle_eastern,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,middle_eastern,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,middle_eastern,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,middle_eastern,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,middle_eastern,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,middle_eastern,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,middle_eastern,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_22,middle_eastern,indian,cartwheeling,capoeira,correct,incorrect
cartwheel_10,south_east_asian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,south_east_asian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,south_east_asian,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,south_east_asian,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,south_east_asian,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,south_east_asian,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,south_east_asian,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,south_east_asian,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_22,south_east_asian,indian,cartwheeling,capoeira,correct,incorrect
squat_19,south_east_asian,middle_eastern,squat,lunge,correct,incorrect
squat_19,south_east_asian,white,squat,lunge,correct,incorrect
cartwheel_10,white,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,white,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,white,african,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,white,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_11,white,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,white,hispanic,cartwheeling,breakdancing,correct,incorrect
cartwheel_10,white,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_12,white,indian,cartwheeling,breakdancing,correct,incorrect
cartwheel_22,white,indian,cartwheeling,capoeira,correct,incorrect
