video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'golf']"
cartwheel_0_modified_african.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'jump', 'other']"
cartwheel_1_initial.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'other', 'bow']"
cartwheel_1_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'bow', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'golf', 'other', 'bow', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'other', 'bow']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'golf', 'other', 'bow', 'other']"
cartwheel_2_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'other']"
cartwheel_2_modified_white.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'golf', 'other', 'other']"
cartwheel_3_initial.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_3_modified_african.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_3_modified_asian.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_3_modified_hispanic.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_3_modified_indian.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_4_initial.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'golf', 'other', 'chop', 'other']"
cartwheel_4_modified_african.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'golf', 'chop', 'other', 'other']"
cartwheel_4_modified_asian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'golf', 'other', 'other', 'other']"
cartwheel_4_modified_hispanic.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'golf', 'other', 'chop', 'other']"
cartwheel_4_modified_indian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'golf', 'chop', 'other', 'other']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'golf', 'chop', 'other', 'other']"
cartwheel_4_modified_white.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'other', 'golf', 'chop', 'other']"
cartwheel_5_initial.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
cartwheel_5_modified_african.mp4,cartwheel,disc golfing,golf,incorrect,"['golf', 'other', 'other', 'bow', 'other']"
