video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category,best_background,best_camera
cartwheel_0_initial.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'swing body part', 'other', 'stretch']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'arm movements', 'dance', 'stretch']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_0_modified_asian.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'swing body part', 'other', 'stretch']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_0_modified_hispanic.mp4,cartwheel,exercising arm,arm movements,incorrect,"['arm movements', 'dance', 'swing body part', 'other', 'stretch']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_0_modified_indian.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'other', 'swing body part', 'stretch']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_0_modified_middle_eastern.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'swing body part', 'other', 'stretch']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_0_modified_south_east_asian.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'other', 'swing body part', 'stretch']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_1_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'kick', 'arm movements', 'stretch', 'kick']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_1_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'dance', 'arm movements', 'kick', 'kick']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_1_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'kick', 'kick', 'bend']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_1_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'kick', 'other', 'kick']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_1_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'dance', 'kick', 'kick']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_1_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'kick', 'bend', 'arm movements', 'yoga']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_1_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'kick', 'other', 'bend']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_2_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'swing body part', 'other']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_2_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'other', 'swing body part']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_2_modified_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'swing body part', 'yoga']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_2_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'swing body part', 'other']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_2_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'swing body part', 'other']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_2_modified_middle_eastern.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'swing body part', 'yoga']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_2_modified_white.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'swing body part', 'arm movements', 'yoga']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_3_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'yoga', 'dance', 'bend']",camera_far,stadium_01,white,stadium_01,camera_far
