video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'swing body part', 'other', 'stretch']"
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'arm movements', 'dance', 'stretch']"
cartwheel_0_modified_asian.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'swing body part', 'other', 'stretch']"
cartwheel_0_modified_hispanic.mp4,cartwheel,exercising arm,arm movements,incorrect,"['arm movements', 'dance', 'swing body part', 'other', 'stretch']"
cartwheel_0_modified_indian.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'other', 'swing body part', 'stretch']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'swing body part', 'other', 'stretch']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,dancing ballet,dance,incorrect,"['dance', 'arm movements', 'other', 'swing body part', 'stretch']"
cartwheel_1_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'kick', 'arm movements', 'stretch', 'kick']"
cartwheel_1_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'dance', 'arm movements', 'kick', 'kick']"
cartwheel_1_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'kick', 'kick', 'bend']"
cartwheel_1_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'kick', 'other', 'kick']"
cartwheel_1_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'dance', 'kick', 'kick']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'kick', 'bend', 'arm movements', 'yoga']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'arm movements', 'kick', 'other', 'bend']"
cartwheel_2_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'swing body part', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'bend', 'arm movements', 'other', 'swing body part']"
