video,ground_truth,raw_prediction,mapped_prediction,result
cartwheel_0_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_initial.mp4,cartwheel,celebrate,celebrate,incorrect
cartwheel_6_modified_african.mp4,cartwheel,celebrate,celebrate,incorrect
cartwheel_6_modified_asian.mp4,cartwheel,celebrate,celebrate,incorrect
cartwheel_6_modified_indian.mp4,cartwheel,celebrate,celebrate,incorrect
cartwheel_6_modified_middle_eastern.mp4,cartwheel,celebrate,celebrate,incorrect
cartwheel_6_modified_south_east_asian.mp4,cartwheel,celebrate,celebrate,incorrect
cartwheel_6_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
celebrate_0_initial.mp4,celebrate,celebrate,celebrate,correct
celebrate_0_modified_african.mp4,celebrate,celebrate,celebrate,correct
celebrate_0_modified_asian.mp4,celebrate,celebrate,celebrate,correct
celebrate_0_modified_hispanic.mp4,celebrate,celebrate,celebrate,correct
celebrate_0_modified_indian.mp4,celebrate,celebrate,celebrate,correct
celebrate_0_modified_middle_eastern.mp4,celebrate,celebrate,celebrate,correct
celebrate_0_modified_south_east_asian.mp4,celebrate,celebrate,celebrate,correct
celebrate_1_initial.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_1_modified_african.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_1_modified_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_1_modified_hispanic.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_1_modified_indian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_1_modified_middle_eastern.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_1_modified_south_east_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_2_initial.mp4,celebrate,clap,clap,incorrect
celebrate_2_modified_african.mp4,celebrate,clap,clap,incorrect
celebrate_2_modified_asian.mp4,celebrate,clap,clap,incorrect
celebrate_2_modified_hispanic.mp4,celebrate,clap,clap,incorrect
celebrate_2_modified_indian.mp4,celebrate,yoga,yoga,incorrect
celebrate_2_modified_middle_eastern.mp4,celebrate,yoga,yoga,incorrect
celebrate_2_modified_white.mp4,celebrate,clap,clap,incorrect
celebrate_3_initial.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_3_modified_african.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_3_modified_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_3_modified_hispanic.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_3_modified_indian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_3_modified_middle_eastern.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_3_modified_south_east_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_initial.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_modified_african.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_modified_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_modified_hispanic.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_modified_indian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_modified_south_east_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_4_modified_white.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_initial.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_modified_african.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_modified_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_modified_hispanic.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_modified_middle_eastern.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_modified_south_east_asian.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_5_modified_white.mp4,celebrate,cartwheel,cartwheel,incorrect
celebrate_6_initial.mp4,celebrate,celebrate,celebrate,correct
celebrate_6_modified_african.mp4,celebrate,celebrate,celebrate,correct
celebrate_6_modified_asian.mp4,celebrate,celebrate,celebrate,correct
celebrate_6_modified_indian.mp4,celebrate,celebrate,celebrate,correct
celebrate_6_modified_middle_eastern.mp4,celebrate,celebrate,celebrate,correct
celebrate_6_modified_south_east_asian.mp4,celebrate,celebrate,celebrate,correct
celebrate_6_modified_white.mp4,celebrate,celebrate,celebrate,correct
celebrate_7_initial.mp4,celebrate,yoga,yoga,incorrect
celebrate_7_modified_african.mp4,celebrate,yoga,yoga,incorrect
celebrate_7_modified_asian.mp4,celebrate,yoga,yoga,incorrect
celebrate_7_modified_hispanic.mp4,celebrate,yoga,yoga,incorrect
celebrate_7_modified_indian.mp4,celebrate,yoga,yoga,incorrect
celebrate_7_modified_middle_eastern.mp4,celebrate,yoga,yoga,incorrect
celebrate_7_modified_white.mp4,celebrate,yoga,yoga,incorrect
celebrate_8_initial.mp4,celebrate,celebrate,celebrate,correct
celebrate_8_modified_african.mp4,celebrate,celebrate,celebrate,correct
celebrate_8_modified_asian.mp4,celebrate,celebrate,celebrate,correct
celebrate_8_modified_hispanic.mp4,celebrate,celebrate,celebrate,correct
celebrate_8_modified_indian.mp4,celebrate,celebrate,celebrate,correct
celebrate_8_modified_middle_eastern.mp4,celebrate,celebrate,celebrate,correct
celebrate_8_modified_south_east_asian.mp4,celebrate,celebrate,celebrate,correct
celebrate_9_initial.mp4,celebrate,yoga,yoga,incorrect
celebrate_9_modified_asian.mp4,celebrate,yoga,yoga,incorrect
celebrate_9_modified_hispanic.mp4,celebrate,yoga,yoga,incorrect
celebrate_9_modified_indian.mp4,celebrate,yoga,yoga,incorrect
celebrate_9_modified_middle_eastern.mp4,celebrate,yoga,yoga,incorrect
celebrate_9_modified_south_east_asian.mp4,celebrate,yoga,yoga,incorrect
celebrate_9_modified_white.mp4,celebrate,yoga,yoga,incorrect
clap_0_initial.mp4,clap,yoga,yoga,incorrect
clap_0_modified_african.mp4,clap,golf,golf,incorrect
clap_0_modified_asian.mp4,clap,yoga,yoga,incorrect
clap_0_modified_hispanic.mp4,clap,clap,clap,correct
clap_0_modified_indian.mp4,clap,clap,clap,correct
clap_0_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect
clap_0_modified_south_east_asian.mp4,clap,yoga,yoga,incorrect
clap_1_initial.mp4,clap,yoga,yoga,incorrect
clap_1_modified_african.mp4,clap,yoga,yoga,incorrect
clap_1_modified_asian.mp4,clap,yoga,yoga,incorrect
clap_1_modified_hispanic.mp4,clap,yoga,yoga,incorrect
clap_1_modified_indian.mp4,clap,yoga,yoga,incorrect
clap_1_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect
clap_1_modified_south_east_asian.mp4,clap,yoga,yoga,incorrect
clap_2_initial.mp4,clap,celebrate,celebrate,incorrect
clap_2_modified_african.mp4,clap,yoga,yoga,incorrect
clap_2_modified_asian.mp4,clap,celebrate,celebrate,incorrect
clap_2_modified_hispanic.mp4,clap,celebrate,celebrate,incorrect
clap_2_modified_indian.mp4,clap,yoga,yoga,incorrect
clap_2_modified_middle_eastern.mp4,clap,celebrate,celebrate,incorrect
clap_2_modified_white.mp4,clap,celebrate,celebrate,incorrect
clap_3_initial.mp4,clap,yoga,yoga,incorrect
clap_3_modified_african.mp4,clap,clap,clap,correct
clap_3_modified_asian.mp4,clap,yoga,yoga,incorrect
clap_3_modified_hispanic.mp4,clap,yoga,yoga,incorrect
clap_3_modified_indian.mp4,clap,yoga,yoga,incorrect
clap_3_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect
clap_3_modified_south_east_asian.mp4,clap,yoga,yoga,incorrect
clap_4_initial.mp4,clap,yoga,yoga,incorrect
clap_4_modified_african.mp4,clap,clap,clap,correct
clap_4_modified_asian.mp4,clap,yoga,yoga,incorrect
clap_4_modified_hispanic.mp4,clap,yoga,yoga,incorrect
clap_4_modified_indian.mp4,clap,clap,clap,correct
clap_4_modified_south_east_asian.mp4,clap,squat,squat,incorrect
clap_4_modified_white.mp4,clap,yoga,yoga,incorrect
clap_5_initial.mp4,clap,yoga,yoga,incorrect
clap_5_modified_african.mp4,clap,yoga,yoga,incorrect
clap_5_modified_asian.mp4,clap,yoga,yoga,incorrect
clap_5_modified_hispanic.mp4,clap,yoga,yoga,incorrect
clap_5_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect
clap_5_modified_south_east_asian.mp4,clap,yoga,yoga,incorrect
clap_5_modified_white.mp4,clap,yoga,yoga,incorrect
clap_6_initial.mp4,clap,celebrate,celebrate,incorrect
clap_6_modified_african.mp4,clap,celebrate,celebrate,incorrect
clap_6_modified_asian.mp4,clap,celebrate,celebrate,incorrect
clap_6_modified_indian.mp4,clap,celebrate,celebrate,incorrect
clap_6_modified_middle_eastern.mp4,clap,celebrate,celebrate,incorrect
clap_6_modified_south_east_asian.mp4,clap,celebrate,celebrate,incorrect
clap_6_modified_white.mp4,clap,yoga,yoga,incorrect
clap_7_initial.mp4,clap,clap,clap,correct
clap_7_modified_african.mp4,clap,clap,clap,correct
clap_7_modified_asian.mp4,clap,clap,clap,correct
clap_7_modified_hispanic.mp4,clap,clap,clap,correct
clap_7_modified_indian.mp4,clap,yoga,yoga,incorrect
clap_7_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect
clap_7_modified_white.mp4,clap,clap,clap,correct
clap_8_initial.mp4,clap,clap,clap,correct
clap_8_modified_african.mp4,clap,celebrate,celebrate,incorrect
clap_8_modified_asian.mp4,clap,jog,jog,incorrect
clap_8_modified_hispanic.mp4,clap,clap,clap,correct
clap_8_modified_indian.mp4,clap,golf,golf,incorrect
clap_8_modified_middle_eastern.mp4,clap,clap,clap,correct
clap_8_modified_south_east_asian.mp4,clap,golf,golf,incorrect
clap_9_initial.mp4,clap,cartwheel,cartwheel,incorrect
clap_9_modified_asian.mp4,clap,yoga,yoga,incorrect
clap_9_modified_hispanic.mp4,clap,yoga,yoga,incorrect
clap_9_modified_indian.mp4,clap,cartwheel,cartwheel,incorrect
clap_9_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect
clap_9_modified_south_east_asian.mp4,clap,yoga,yoga,incorrect
clap_9_modified_white.mp4,clap,yoga,yoga,incorrect
cry_0_initial.mp4,cry,jog,jog,incorrect
cry_0_modified_african.mp4,cry,jog,jog,incorrect
cry_0_modified_asian.mp4,cry,jog,jog,incorrect
cry_0_modified_hispanic.mp4,cry,jog,jog,incorrect
cry_0_modified_indian.mp4,cry,jog,jog,incorrect
cry_0_modified_middle_eastern.mp4,cry,jog,jog,incorrect
cry_0_modified_south_east_asian.mp4,cry,jog,jog,incorrect
cry_1_initial.mp4,cry,jog,jog,incorrect
cry_1_modified_african.mp4,cry,jog,jog,incorrect
cry_1_modified_asian.mp4,cry,jog,jog,incorrect
cry_1_modified_hispanic.mp4,cry,jog,jog,incorrect
cry_1_modified_indian.mp4,cry,jog,jog,incorrect
cry_1_modified_middle_eastern.mp4,cry,jog,jog,incorrect
cry_1_modified_south_east_asian.mp4,cry,jog,jog,incorrect
cry_2_initial.mp4,cry,jog,jog,incorrect
cry_2_modified_african.mp4,cry,cartwheel,cartwheel,incorrect
cry_2_modified_asian.mp4,cry,jog,jog,incorrect
