video,true_label,raw_prediction,mapped_prediction,result
cartwheel_0_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_10_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_11_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_12_modified.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_14_modified.mp4,cartwheel,throwing discus,other,incorrect
cartwheel_15_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_16_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_19_modified.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_20_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_21_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_22_modified.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_24_modified.mp4,cartwheel,passing American football (not in game),other,incorrect
cartwheel_25_modified.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_27_modified.mp4,cartwheel,javelin throw,other,incorrect
cartwheel_28_modified.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_4_modified.mp4,cartwheel,tai chi,other,incorrect
cartwheel_6_modified.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_8_modified.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_9_modified.mp4,cartwheel,tai chi,other,incorrect
jump_0_modified.mp4,jump,catching or throwing frisbee,other,incorrect
jump_10_modified.mp4,jump,catching or throwing frisbee,other,incorrect
jump_11_modified.mp4,jump,throwing discus,other,incorrect
jump_12_modified.mp4,jump,throwing discus,other,incorrect
jump_14_modified.mp4,jump,tai chi,other,incorrect
jump_15_modified.mp4,jump,hammer throw,other,incorrect
jump_16_modified.mp4,jump,hammer throw,other,incorrect
jump_19_modified.mp4,jump,tai chi,other,incorrect
jump_20_modified.mp4,jump,archery,other,incorrect
jump_21_modified.mp4,jump,flying kite,other,incorrect
jump_22_modified.mp4,jump,hammer throw,other,incorrect
jump_24_modified.mp4,jump,passing American football (not in game),other,incorrect
jump_25_modified.mp4,jump,tai chi,other,incorrect
jump_27_modified.mp4,jump,catching or throwing frisbee,other,incorrect
jump_28_modified.mp4,jump,drop kicking,other,incorrect
jump_4_modified.mp4,jump,drop kicking,other,incorrect
jump_6_modified.mp4,jump,hammer throw,other,incorrect
jump_8_modified.mp4,jump,passing American football (not in game),other,incorrect
jump_9_modified.mp4,jump,drop kicking,other,incorrect
run_0_modified.mp4,run,drop kicking,other,incorrect
run_10_modified.mp4,run,drop kicking,other,incorrect
run_11_modified.mp4,run,throwing axe,other,incorrect
run_12_modified.mp4,run,catching or throwing frisbee,other,incorrect
run_14_modified.mp4,run,hammer throw,other,incorrect
run_15_modified.mp4,run,drop kicking,other,incorrect
run_16_modified.mp4,run,dunking basketball,other,incorrect
run_19_modified.mp4,run,catching or throwing frisbee,other,incorrect
run_20_modified.mp4,run,tai chi,other,incorrect
run_21_modified.mp4,run,catching or throwing frisbee,other,incorrect
run_22_modified.mp4,run,throwing axe,other,incorrect
run_24_modified.mp4,run,drop kicking,other,incorrect
run_25_modified.mp4,run,high jump,other,incorrect
run_27_modified.mp4,run,drop kicking,other,incorrect
run_28_modified.mp4,run,drop kicking,other,incorrect
run_4_modified.mp4,run,passing American football (not in game),other,incorrect
run_6_modified.mp4,run,high jump,other,incorrect
run_8_modified.mp4,run,drop kicking,other,incorrect
run_9_modified.mp4,run,throwing axe,other,incorrect
walk_0_modified.mp4,walk,passing American football (not in game),other,incorrect
walk_10_modified.mp4,walk,passing American football (not in game),other,incorrect
walk_11_modified.mp4,walk,drop kicking,other,incorrect
walk_12_modified.mp4,walk,drop kicking,other,incorrect
walk_14_modified.mp4,walk,drop kicking,other,incorrect
walk_15_modified.mp4,walk,tai chi,other,incorrect
walk_16_modified.mp4,walk,drop kicking,other,incorrect
walk_19_modified.mp4,walk,passing American football (not in game),other,incorrect
walk_20_modified.mp4,walk,passing American football (not in game),other,incorrect
walk_21_modified.mp4,walk,disc golfing,other,incorrect
walk_22_modified.mp4,walk,disc golfing,other,incorrect
walk_24_modified.mp4,walk,throwing axe,other,incorrect
walk_25_modified.mp4,walk,high jump,other,incorrect
walk_27_modified.mp4,walk,drop kicking,other,incorrect
walk_28_modified.mp4,walk,tai chi,other,incorrect
walk_4_modified.mp4,walk,throwing axe,other,incorrect
walk_6_modified.mp4,walk,tai chi,other,incorrect
walk_8_modified.mp4,walk,throwing axe,other,incorrect
walk_9_modified.mp4,walk,throwing axe,other,incorrect
