video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']",camera_far,autumn_hockey,white
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'cartwheel', 'other', 'yoga', 'other']",camera_far,autumn_hockey,african
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']",camera_far,autumn_hockey,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']",camera_far,autumn_hockey,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'yoga']",camera_far,autumn_hockey,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'cartwheel', 'throw', 'other']",camera_far,autumn_hockey,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']",camera_far,autumn_hockey,south_east_asian
cartwheel_1_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'cartwheel', 'other', 'stretch']",camera_far,autumn_hockey,white
cartwheel_1_modified_african.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'kick']",camera_far,autumn_hockey,african
cartwheel_1_modified_asian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'cartwheel']",camera_far,autumn_hockey,asian
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_1_modified_indian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'kick']",camera_far,autumn_hockey,indian
cartwheel_1_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'cartwheel', 'other', 'stretch']",camera_far,autumn_hockey,middle_eastern
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'cartwheel', 'other', 'other']",camera_far,autumn_hockey,south_east_asian
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']",camera_far,autumn_hockey,south_east_asian
