video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_1_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'juggle', 'other', 'actions with ball', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'bow', 'other', 'juggle']"
cartwheel_1_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'juggle', 'other', 'bow']"
cartwheel_1_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'bow', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'bow', 'juggle', 'other', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'juggle', 'actions with ball', 'bow']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'juggle', 'bow', 'other']"
cartwheel_2_initial.mp4,cartwheel,blowing leaves,other,incorrect,"['other', 'dance', 'other', 'other', 'jog']"
cartwheel_2_modified_african.mp4,cartwheel,blowing leaves,other,incorrect,"['other', 'dance', 'other', 'jog', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,blowing leaves,other,incorrect,"['other', 'dance', 'other', 'other', 'jog']"
cartwheel_2_modified_hispanic.mp4,cartwheel,blowing leaves,other,incorrect,"['other', 'dance', 'other', 'other', 'jog']"
cartwheel_2_modified_indian.mp4,cartwheel,blowing leaves,other,incorrect,"['other', 'dance', 'other', 'other', 'jog']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,blowing leaves,other,incorrect,"['other', 'dance', 'other', 'other', 'jog']"
