video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'jump', 'cartwheel', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'jump']"
cartwheel_0_modified_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'cartwheel', 'jump', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'other', 'jump', 'cartwheel', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'other', 'cartwheel', 'jump']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'jump', 'cartwheel', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'cartwheel', 'jump', 'other']"
cartwheel_1_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'other', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'actions with ball', 'juggle']"
cartwheel_1_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dance', 'actions with ball']"
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dance', 'actions with ball']"
cartwheel_1_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'actions with ball', 'juggle']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'juggle', 'actions with ball', 'other']"
cartwheel_2_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'cartwheel', 'kick']"
cartwheel_2_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'actions with ball']"
cartwheel_2_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'cartwheel', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'cartwheel', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'actions with ball']"
cartwheel_2_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'actions with ball']"
cartwheel_3_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'juggle']"
cartwheel_3_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'other', 'juggle']"
cartwheel_3_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'juggle']"
cartwheel_3_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'other']"
cartwheel_3_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'juggle']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'juggle']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dance', 'juggle', 'other']"
cartwheel_4_initial.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'other', 'play sport', 'dribble']"
cartwheel_4_modified_african.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'dribble', 'other', 'play sport']"
cartwheel_4_modified_asian.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'play sport', 'dribble', 'other']"
cartwheel_4_modified_hispanic.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'play sport', 'dribble', 'other']"
cartwheel_4_modified_indian.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'other', 'dribble', 'play sport']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'play sport', 'other', 'dribble']"
cartwheel_4_modified_white.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'other', 'other', 'play sport']"
cartwheel_5_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_5_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_5_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_5_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'juggle']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'juggle']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_5_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'juggle']"
cartwheel_6_initial.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'stretch', 'squat', 'yoga', 'other']"
cartwheel_6_modified_african.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'stretch', 'other', 'yoga', 'squat']"
cartwheel_6_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'stretch', 'juggle', 'other', 'stretch']"
cartwheel_6_modified_indian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'stretch', 'dribble', 'other']"
cartwheel_6_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'stretch', 'other', 'other', 'stretch']"
cartwheel_6_modified_south_east_asian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'stretch', 'other', 'yoga']"
cartwheel_6_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'stretch', 'juggle', 'other', 'stretch']"
cartwheel_7_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_7_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_7_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_7_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'dribble', 'other', 'other', 'actions with ball']"
cartwheel_7_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_7_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_7_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_8_initial.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'other', 'dribble', 'play sport']"
cartwheel_8_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'play sport', 'other']"
cartwheel_8_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'other', 'play sport']"
cartwheel_8_modified_hispanic.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'play sport', 'dribble', 'other', 'other']"
cartwheel_8_modified_indian.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'dribble', 'play sport', 'other']"
cartwheel_8_modified_middle_eastern.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'other', 'other', 'dribble', 'play sport']"
cartwheel_8_modified_south_east_asian.mp4,cartwheel,riding unicycle,other,incorrect,"['other', 'dribble', 'other', 'other', 'play sport']"
cartwheel_9_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'other', 'actions with ball']"
cartwheel_9_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'other', 'actions with ball']"
cartwheel_9_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'other', 'actions with ball']"
cartwheel_9_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'other', 'actions with ball']"
cartwheel_9_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'jump rope']"
cartwheel_9_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'actions with ball']"
cartwheel_9_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'jump rope', 'dribble']"
celebrate_0_initial.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'dribble', 'stretch']"
celebrate_0_modified_african.mp4,celebrate,shooting basketball,dribble,incorrect,"['dribble', 'other', 'other', 'stretch', 'play sport']"
celebrate_0_modified_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'stretch', 'dribble', 'other']"
celebrate_0_modified_hispanic.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'stretch', 'play sport']"
celebrate_0_modified_indian.mp4,celebrate,shooting basketball,dribble,incorrect,"['dribble', 'other', 'stretch', 'other', 'play sport']"
celebrate_0_modified_middle_eastern.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'stretch', 'play sport']"
celebrate_0_modified_south_east_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'dribble', 'stretch', 'play sport']"
celebrate_1_initial.mp4,celebrate,contact juggling,juggle,incorrect,"['juggle', 'other', 'other', 'other', 'stretch']"
celebrate_1_modified_african.mp4,celebrate,riding unicycle,other,incorrect,"['other', 'other', 'other', 'juggle', 'other']"
