video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'stretch', 'stretch', 'jump']"
cartwheel_0_modified_african.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'cartwheel', 'other', 'jump']"
cartwheel_0_modified_asian.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'cartwheel', 'stretch', 'stretch']"
cartwheel_0_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'stretch', 'stretch', 'cartwheel']"
cartwheel_0_modified_indian.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'cartwheel', 'stretch', 'jump']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'stretch', 'stretch', 'jump']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect,"['yoga', 'bend', 'cartwheel', 'stretch', 'stretch']"
cartwheel_1_initial.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'juggle', 'juggle', 'other', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'play sport', 'dance', 'dance', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'dance', 'juggle', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'play sport', 'other', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'dance', 'other', 'dance']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'juggle', 'play sport', 'juggle', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'play sport', 'other', 'juggle', 'dance']"
cartwheel_2_initial.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'clean something', 'dance', 'swing body part', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'clean something', 'dance', 'swing body part', 'stretch']"
cartwheel_2_modified_asian.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'clean something', 'other', 'dance', 'swing body part']"
cartwheel_2_modified_hispanic.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'clean something', 'dance', 'swing body part', 'stretch']"
cartwheel_2_modified_indian.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'clean something', 'dance', 'swing body part', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'clean something', 'dance', 'other', 'swing body part']"
cartwheel_2_modified_white.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'dance', 'other', 'swing body part', 'clean something']"
cartwheel_3_initial.mp4,cartwheel,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'juggle', 'other']"
cartwheel_3_modified_african.mp4,cartwheel,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'other', 'kick']"
cartwheel_3_modified_asian.mp4,cartwheel,jumpstyle dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'juggle', 'other']"
cartwheel_3_modified_hispanic.mp4,cartwheel,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'juggle', 'juggle']"
cartwheel_3_modified_indian.mp4,cartwheel,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'juggle', 'jog']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,contact juggling,juggle,incorrect,"['juggle', 'dance', 'juggle', 'kick', 'other']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'juggle', 'juggle']"
cartwheel_4_initial.mp4,cartwheel,contact juggling,juggle,incorrect,"['juggle', 'punch', 'other', 'juggle', 'other']"
cartwheel_4_modified_african.mp4,cartwheel,contact juggling,juggle,incorrect,"['juggle', 'bow', 'punch', 'juggle', 'other']"
cartwheel_4_modified_asian.mp4,cartwheel,punching bag,punch,incorrect,"['punch', 'juggle', 'other', 'bow', 'juggle']"
cartwheel_4_modified_hispanic.mp4,cartwheel,contact juggling,juggle,incorrect,"['juggle', 'other', 'punch', 'juggle', 'other']"
