video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category,best_background,best_camera
cartwheel_0_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'yoga']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_0_modified_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_0_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_0_modified_indian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_0_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_0_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_1_initial.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'jump', 'cartwheel', 'other']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_1_modified_african.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'arm movements', 'play catch', 'stretch', 'raise body part']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_1_modified_asian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'cartwheel', 'jump', 'arm movements']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_1_modified_hispanic.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'jump', 'cartwheel', 'arm movements']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_1_modified_indian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'arm movements', 'play catch', 'stretch', 'other']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_1_modified_middle_eastern.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'jump', 'cartwheel', 'other']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_1_modified_south_east_asian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'cartwheel', 'jump', 'other']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_2_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'other', 'cartwheel', 'other']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_2_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'cartwheel', 'other', 'other']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_2_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'other', 'cartwheel', 'other']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_2_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'other', 'cartwheel', 'other']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'jump', 'other']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_2_modified_white.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'bend']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_3_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'stretch', 'jump', 'other', 'other']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_3_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'play catch', 'other', 'throw']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_3_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'stretch', 'other', 'jump']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_3_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'stretch']",camera_far,stadium_01,hispanic,stadium_01,camera_far
