video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'interact with rope', 'dance', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'dance', 'other', 'swing body part', 'bow']"
cartwheel_0_modified_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'interact with rope', 'other', 'swing body part', 'dance']"
cartwheel_0_modified_hispanic.mp4,cartwheel,slacklining,other,incorrect,"['other', 'interact with rope', 'swing body part', 'dance', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'bow', 'dance', 'swing body part']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'interact with rope', 'dance', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'interact with rope', 'swing body part', 'dance']"
cartwheel_1_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'golf', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'dance', 'arm movements', 'golf']"
cartwheel_1_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'kick', 'arm movements']"
cartwheel_1_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'other', 'golf']"
cartwheel_1_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'dance', 'arm movements', 'stretch']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'other', 'stretch']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'other', 'jump rope']"
cartwheel_2_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'arm movements', 'other', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'arm movements', 'other', 'kick']"
cartwheel_2_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'yoga', 'other', 'other', 'other']"
cartwheel_2_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'arm movements', 'other']"
