video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category,best_background,best_camera
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'bend', 'throw']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'swing body part']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'throw', 'lunge']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_0_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'throw', 'swing body part', 'bend']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'bend', 'swing body part']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'swing body part', 'bend']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'bend', 'lunge']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_1_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'play sport', 'bend', 'swing body part']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_1_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'play sport', 'other', 'bend', 'swing body part']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_1_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'play sport', 'other', 'bend', 'swing body part']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_1_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'play sport', 'other', 'bend', 'stretch']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_1_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'play sport', 'bend', 'other', 'stretch']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_1_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'swing body part', 'play sport']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_1_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'swing body part', 'bend', 'play sport']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'other']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_2_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'other']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'other']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_2_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_2_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_3_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'swing body part']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_3_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'swing body part']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_3_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'bend', 'arm movements']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_3_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'bend']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_3_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'swing body part']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'bend']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_3_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'bend']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_4_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_4_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_4_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'jump']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'lunge']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_4_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'lunge']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_4_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'lunge']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_4_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'lunge', 'throw']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_5_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'arm movements', 'lunge']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_5_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'lunge', 'stretch', 'arm movements']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_5_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'stretch', 'arm movements']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_5_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'lunge', 'swing body part']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_5_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'stretch', 'lunge']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_5_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'stretch', 'throw', 'arm movements']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_5_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'lunge', 'stretch']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_6_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'throw', 'play catch', 'other', 'play catch']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_6_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'play catch', 'throw', 'other', 'other']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_6_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'throw', 'other', 'play catch', 'other']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_6_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'play catch', 'throw', 'other', 'play catch']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_6_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'throw', 'other', 'play catch', 'other']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_6_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'throw', 'play catch', 'other', 'play catch']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_6_modified_white.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'throw', 'other', 'other', 'golf']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_7_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'bend']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_7_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'bend']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_7_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'bend']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_7_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'bend']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_7_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'bend']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_7_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'bend']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_7_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'bend']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_8_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'throw', 'jump', 'bend']",camera_far,stadium_01,white,stadium_01,camera_far
cartwheel_8_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'throw', 'lunge']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_8_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'bend']",camera_far,stadium_01,asian,stadium_01,camera_far
cartwheel_8_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'jump', 'throw']",camera_far,stadium_01,hispanic,stadium_01,camera_far
cartwheel_8_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'bend', 'lunge']",camera_far,stadium_01,indian,stadium_01,camera_far
cartwheel_8_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'throw', 'jump', 'bend']",camera_far,stadium_01,middle_eastern,stadium_01,camera_far
cartwheel_8_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'jump']",camera_far,stadium_01,south_east_asian,stadium_01,camera_far
cartwheel_9_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'actions with ball', 'lunge', 'squat', 'other']",camera_far,stadium_01,african,stadium_01,camera_far
cartwheel_9_modified_asian.mp4,cartwheel,throwing ball,actions with ball,incorrect,"['actions with ball', 'squat', 'lunge', 'cartwheel', 'kick']",camera_far,stadium_01,asian,stadium_01,camera_far
