video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'yoga']"
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']"
cartwheel_0_modified_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']"
cartwheel_0_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']"
cartwheel_0_modified_indian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'bend', 'other', 'jump']"
cartwheel_1_initial.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'jump', 'cartwheel', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'arm movements', 'play catch', 'stretch', 'raise body part']"
cartwheel_1_modified_asian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'cartwheel', 'jump', 'arm movements']"
cartwheel_1_modified_hispanic.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'jump', 'cartwheel', 'arm movements']"
cartwheel_1_modified_indian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'arm movements', 'play catch', 'stretch', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'jump', 'cartwheel', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'other', 'cartwheel', 'jump', 'other']"
cartwheel_2_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'other', 'cartwheel', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'cartwheel', 'other', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_2_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'other', 'cartwheel', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'jump', 'other', 'cartwheel', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'jump', 'other']"
cartwheel_2_modified_white.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'bend']"
cartwheel_3_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'stretch', 'jump', 'other', 'other']"
cartwheel_3_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'play catch', 'other', 'throw']"
