video,true_label,raw_prediction,mapped_prediction,result
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_10_initial.mp4,cartwheel,somersaulting,other,incorrect
cartwheel_11_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_12_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_13_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_14_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_15_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_16_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_17_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_18_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_19_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_1_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_20_initial.mp4,cartwheel,somersaulting,other,incorrect
cartwheel_21_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_22_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_23_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_24_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_25_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_26_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_27_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_28_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_29_initial.mp4,cartwheel,golf chipping,other,incorrect
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_30_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_31_initial.mp4,cartwheel,javelin throw,other,incorrect
cartwheel_32_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_33_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_34_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_35_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_36_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_37_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_38_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_39_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_3_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_40_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_41_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_42_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_43_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_44_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_45_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_46_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_47_initial.mp4,cartwheel,javelin throw,other,incorrect
cartwheel_48_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_49_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_4_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_5_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_6_initial.mp4,cartwheel,stretching arm,other,incorrect
cartwheel_7_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_8_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_9_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
jump_0_initial.mp4,jump,golf chipping,other,incorrect
jump_10_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_11_initial.mp4,jump,throwing discus,other,incorrect
jump_12_initial.mp4,jump,stretching arm,other,incorrect
jump_13_initial.mp4,jump,golf chipping,other,incorrect
jump_14_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_15_initial.mp4,jump,passing American football (not in game),other,incorrect
