video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'bend', 'other', 'yoga']"
cartwheel_0_modified_african.mp4,cartwheel,push up,other,incorrect,"['other', 'bend', 'swing body part', 'tie', 'stretch']"
cartwheel_0_modified_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'swing body part', 'stretch', 'other', 'tie']"
cartwheel_0_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'bend', 'stretch', 'yoga', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'bend', 'other', 'tie']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'bend', 'yoga', 'kick']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'bend', 'stretch', 'other', 'tie']"
cartwheel_1_initial.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'head movements', 'bow', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'perform', 'other', 'other', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'bow', 'other', 'head movements']"
cartwheel_1_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'bow', 'head movements', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'bow', 'other', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'bow', 'other', 'other', 'tie']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'bow', 'other', 'other', 'head movements']"
cartwheel_2_initial.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'kick']"
cartwheel_2_modified_african.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'golf', 'other', 'kick']"
cartwheel_2_modified_asian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'squat', 'golf', 'other', 'bow']"
cartwheel_2_modified_hispanic.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'kick']"
cartwheel_2_modified_indian.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'kick', 'bow']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'golf', 'other', 'bow']"
cartwheel_2_modified_white.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'golf', 'bow']"
