video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'stretch', 'style hair']"
cartwheel_0_modified_african.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'clean something', 'style hair', 'yoga', 'stretch']"
cartwheel_0_modified_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'stretch', 'stretch', 'yoga', 'style hair']"
cartwheel_0_modified_hispanic.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'style hair', 'stretch', 'stretch']"
cartwheel_0_modified_indian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'stretch', 'style hair', 'yoga', 'tie']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'style hair', 'stretch', 'stretch']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'stretch', 'style hair']"
cartwheel_1_initial.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'other', 'golf', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'perform', 'other', 'golf']"
cartwheel_1_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'golf', 'other', 'other', 'head movements']"
cartwheel_1_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'head movements', 'golf', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'golf', 'head movements', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'head movements', 'golf', 'other', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'head movements', 'golf', 'other']"
cartwheel_2_initial.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_hispanic.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_2_modified_white.mp4,cartwheel,situp,squat,incorrect,"['squat', 'golf', 'other', 'other', 'other']"
cartwheel_3_initial.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'golf', 'tie', 'other']"
cartwheel_3_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'golf', 'tie', 'head movements', 'other']"
cartwheel_3_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'golf', 'head movements', 'tie']"
cartwheel_3_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'golf', 'tie', 'other']"
cartwheel_3_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'golf', 'tie', 'other', 'other']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'golf', 'head movements', 'bow']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,sign language interpreting,other,incorrect,"['other', 'other', 'golf', 'tie', 'head movements']"
cartwheel_4_initial.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'other', 'tie', 'other', 'golf']"
cartwheel_4_modified_african.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'tie', 'golf', 'other', 'other']"
cartwheel_4_modified_asian.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'other', 'other', 'golf', 'tie']"
cartwheel_4_modified_hispanic.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'other', 'golf', 'other', 'tie']"
cartwheel_4_modified_indian.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'other', 'golf', 'other', 'perform']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'other', 'other', 'golf', 'tie']"
cartwheel_4_modified_white.mp4,cartwheel,playing accordion,other,incorrect,"['other', 'perform', 'other', 'other', 'golf']"
cartwheel_5_initial.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'other', 'other', 'golf']"
cartwheel_5_modified_african.mp4,cartwheel,sign language interpreting,other,incorrect,"['other', 'other', 'perform', 'other', 'other']"
cartwheel_5_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'other', 'golf', 'perform']"
cartwheel_5_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'other', 'other', 'perform']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,sign language interpreting,other,incorrect,"['other', 'other', 'perform', 'style hair', 'golf']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'perform', 'other', 'other']"
cartwheel_5_modified_white.mp4,cartwheel,sign language interpreting,other,incorrect,"['other', 'style hair', 'other', 'other', 'golf']"
