video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'bend']"
cartwheel_0_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'jump rope']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_1_initial.mp4,cartwheel,playing badminton,other,incorrect,"['other', 'other', 'other', 'juggle', 'juggle']"
cartwheel_1_modified_african.mp4,cartwheel,playing badminton,other,incorrect,"['other', 'other', 'other', 'other', 'juggle']"
cartwheel_1_modified_asian.mp4,cartwheel,playing badminton,other,incorrect,"['other', 'other', 'other', 'juggle', 'juggle']"
cartwheel_1_modified_hispanic.mp4,cartwheel,playing badminton,other,incorrect,"['other', 'other', 'juggle', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'juggle', 'juggle', 'other', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,playing badminton,other,incorrect,"['other', 'other', 'other', 'juggle', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,playing badminton,other,incorrect,"['other', 'other', 'juggle', 'other', 'juggle']"
cartwheel_2_initial.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'other', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'other', 'clean something']"
cartwheel_2_modified_asian.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'other', 'clean something']"
cartwheel_2_modified_hispanic.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'other', 'clean something']"
cartwheel_2_modified_indian.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'clean something', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'other', 'other']"
cartwheel_2_modified_white.mp4,cartwheel,moving furniture,move something,incorrect,"['move something', 'other', 'other', 'dance', 'other']"
cartwheel_3_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'kick', 'kick']"
cartwheel_3_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'kick', 'jog']"
