video,true_label,raw_prediction,mapped_prediction,result
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_10_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_11_initial.mp4,cartwheel,high kick,other,incorrect
cartwheel_12_initial.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_13_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_14_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_15_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_16_initial.mp4,cartwheel,passing American football (not in game),other,incorrect
cartwheel_17_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_18_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_19_initial.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_1_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_20_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_21_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_22_initial.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_23_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_24_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_25_initial.mp4,cartwheel,hammer throw,other,incorrect
cartwheel_26_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_27_initial.mp4,cartwheel,javelin throw,other,incorrect
cartwheel_28_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_29_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_30_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_31_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_32_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_33_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_34_initial.mp4,cartwheel,somersaulting,other,incorrect
cartwheel_35_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_36_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_37_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_38_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_39_initial.mp4,cartwheel,javelin throw,other,incorrect
cartwheel_3_initial.mp4,cartwheel,high kick,other,incorrect
cartwheel_40_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_41_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_42_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_43_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_44_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_45_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_46_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_47_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_48_initial.mp4,cartwheel,throwing axe,other,incorrect
cartwheel_49_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect
cartwheel_4_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_5_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_6_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_7_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_8_initial.mp4,cartwheel,tai chi,other,incorrect
cartwheel_9_initial.mp4,cartwheel,tai chi,other,incorrect
jump_0_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_10_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_11_initial.mp4,jump,throwing discus,other,incorrect
jump_12_initial.mp4,jump,somersaulting,other,incorrect
jump_13_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_14_initial.mp4,jump,tai chi,other,incorrect
jump_15_initial.mp4,jump,hammer throw,other,incorrect
jump_16_initial.mp4,jump,hammer throw,other,incorrect
jump_17_initial.mp4,jump,drop kicking,other,incorrect
jump_18_initial.mp4,jump,high jump,other,incorrect
jump_19_initial.mp4,jump,tai chi,other,incorrect
jump_1_initial.mp4,jump,throwing discus,other,incorrect
jump_20_initial.mp4,jump,archery,other,incorrect
jump_21_initial.mp4,jump,flying kite,other,incorrect
jump_22_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_23_initial.mp4,jump,drop kicking,other,incorrect
jump_24_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_25_initial.mp4,jump,tai chi,other,incorrect
jump_26_initial.mp4,jump,drop kicking,other,incorrect
jump_27_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_28_initial.mp4,jump,drop kicking,other,incorrect
jump_29_initial.mp4,jump,hammer throw,other,incorrect
jump_2_initial.mp4,jump,drop kicking,other,incorrect
jump_30_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_31_initial.mp4,jump,drop kicking,other,incorrect
jump_32_initial.mp4,jump,hammer throw,other,incorrect
jump_33_initial.mp4,jump,drop kicking,other,incorrect
jump_34_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_35_initial.mp4,jump,flying kite,other,incorrect
jump_36_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_37_initial.mp4,jump,high jump,other,incorrect
jump_38_initial.mp4,jump,hammer throw,other,incorrect
jump_39_initial.mp4,jump,catching or throwing frisbee,other,incorrect
jump_3_initial.mp4,jump,drop kicking,other,incorrect
jump_40_initial.mp4,jump,juggling balls,other,incorrect
jump_41_initial.mp4,jump,hammer throw,other,incorrect
jump_42_initial.mp4,jump,flying kite,other,incorrect
jump_43_initial.mp4,jump,drop kicking,other,incorrect
jump_44_initial.mp4,jump,drop kicking,other,incorrect
jump_45_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_46_initial.mp4,jump,somersaulting,other,incorrect
jump_47_initial.mp4,jump,hammer throw,other,incorrect
jump_48_initial.mp4,jump,drop kicking,other,incorrect
jump_49_initial.mp4,jump,drop kicking,other,incorrect
jump_4_initial.mp4,jump,drop kicking,other,incorrect
jump_5_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_6_initial.mp4,jump,hammer throw,other,incorrect
jump_7_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_8_initial.mp4,jump,passing American football (not in game),other,incorrect
jump_9_initial.mp4,jump,drop kicking,other,incorrect
run_0_initial.mp4,run,juggling balls,other,incorrect
run_10_initial.mp4,run,drop kicking,other,incorrect
run_11_initial.mp4,run,throwing axe,other,incorrect
run_12_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_13_initial.mp4,run,drop kicking,other,incorrect
run_14_initial.mp4,run,hammer throw,other,incorrect
run_15_initial.mp4,run,drop kicking,other,incorrect
run_16_initial.mp4,run,high jump,other,incorrect
run_17_initial.mp4,run,drop kicking,other,incorrect
run_18_initial.mp4,run,passing American football (not in game),other,incorrect
run_19_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_1_initial.mp4,run,tai chi,other,incorrect
run_20_initial.mp4,run,tai chi,other,incorrect
run_21_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_22_initial.mp4,run,throwing axe,other,incorrect
run_23_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_24_initial.mp4,run,drop kicking,other,incorrect
run_25_initial.mp4,run,high jump,other,incorrect
run_26_initial.mp4,run,drop kicking,other,incorrect
run_27_initial.mp4,run,dunking basketball,other,incorrect
run_28_initial.mp4,run,drop kicking,other,incorrect
run_29_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_2_initial.mp4,run,high jump,other,incorrect
run_30_initial.mp4,run,drop kicking,other,incorrect
run_31_initial.mp4,run,dunking basketball,other,incorrect
run_32_initial.mp4,run,high jump,other,incorrect
run_33_initial.mp4,run,dunking basketball,other,incorrect
run_34_initial.mp4,run,drop kicking,other,incorrect
run_35_initial.mp4,run,tai chi,other,incorrect
run_36_initial.mp4,run,high jump,other,incorrect
run_37_initial.mp4,run,throwing axe,other,incorrect
run_38_initial.mp4,run,tai chi,other,incorrect
run_39_initial.mp4,run,drop kicking,other,incorrect
run_3_initial.mp4,run,drop kicking,other,incorrect
run_40_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_41_initial.mp4,run,tai chi,other,incorrect
run_42_initial.mp4,run,passing American football (not in game),other,incorrect
run_43_initial.mp4,run,passing American football (not in game),other,incorrect
run_44_initial.mp4,run,throwing axe,other,incorrect
run_45_initial.mp4,run,disc golfing,other,incorrect
run_46_initial.mp4,run,lunge,other,incorrect
run_47_initial.mp4,run,catching or throwing frisbee,other,incorrect
run_48_initial.mp4,run,passing American football (not in game),other,incorrect
run_49_initial.mp4,run,passing American football (not in game),other,incorrect
run_4_initial.mp4,run,flying kite,other,incorrect
run_5_initial.mp4,run,drop kicking,other,incorrect
run_6_initial.mp4,run,high jump,other,incorrect
run_7_initial.mp4,run,drop kicking,other,incorrect
run_8_initial.mp4,run,drop kicking,other,incorrect
