video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'jump', 'other', 'other', 'other']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_1_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'jump', 'other', 'other', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'jump', 'cartwheel', 'kick', 'throw']"
cartwheel_1_modified_asian.mp4,cartwheel,somersaulting,jump,incorrect,"['jump', 'cartwheel', 'other', 'other', 'kick']"
cartwheel_1_modified_hispanic.mp4,cartwheel,somersaulting,jump,incorrect,"['jump', 'cartwheel', 'other', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'jump', 'other', 'cartwheel']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'jump', 'other', 'other', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,somersaulting,jump,incorrect,"['jump', 'cartwheel', 'other', 'other', 'other']"
cartwheel_2_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'bend']"
cartwheel_2_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'bend']"
cartwheel_2_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'bend']"
cartwheel_3_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'jump', 'other', 'kick', 'other']"
cartwheel_3_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'kick', 'kick']"
cartwheel_3_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'kick', 'jump']"
cartwheel_3_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'kick', 'other', 'kick']"
cartwheel_3_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'kick', 'other', 'kick']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'kick', 'jump', 'other']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'kick', 'kick', 'other']"
cartwheel_4_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_4_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'other']"
cartwheel_4_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'other']"
cartwheel_4_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'jump']"
cartwheel_4_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'other']"
cartwheel_4_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'other']"
cartwheel_5_initial.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'throw']"
cartwheel_5_modified_african.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'play catch', 'kick']"
cartwheel_5_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'throw', 'other', 'jump', 'throw']"
cartwheel_5_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'throw', 'jump', 'other']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'throw', 'other', 'jump']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'jump']"
cartwheel_5_modified_white.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'throw', 'jump', 'kick']"
cartwheel_6_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'yoga', 'play sport', 'kick']"
cartwheel_6_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'kick', 'cry', 'play sport', 'hug']"
cartwheel_6_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'stretch']"
cartwheel_6_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'kick', 'play sport', 'other', 'other']"
