video,true_label,raw_prediction,mapped_prediction,result
cartwheel_0_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_10_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_11_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_12_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_13_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_13_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_13_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_13_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_13_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_13_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_13_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_14_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_15_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_16_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_16_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_16_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_16_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_16_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_16_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_16_modified_white.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_17_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_17_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_17_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_17_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_17_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_17_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_17_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_18_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_19_initial.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_19_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_19_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_19_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_19_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_19_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_19_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_1_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_1_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_20_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_20_modified_african.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_20_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_20_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_20_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_20_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_20_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_21_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_22_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_23_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_24_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_2_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_2_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_3_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_4_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_4_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_5_initial.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_5_modified_african.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_5_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_5_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_5_modified_white.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_6_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_6_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_7_initial.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_modified_african.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_modified_indian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_7_modified_white.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_8_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_8_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_initial.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_african.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_9_modified_asian.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_9_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct
cartwheel_9_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect
cartwheel_9_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct
drink_0_initial.mp4,drink,yoga,yoga,incorrect
drink_0_modified_african.mp4,drink,cartwheel,cartwheel,incorrect
drink_0_modified_asian.mp4,drink,yoga,yoga,incorrect
drink_0_modified_hispanic.mp4,drink,yoga,yoga,incorrect
drink_0_modified_indian.mp4,drink,yoga,yoga,incorrect
drink_0_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect
drink_0_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect
drink_10_initial.mp4,drink,cartwheel,cartwheel,incorrect
drink_10_modified_african.mp4,drink,other,other,incorrect
drink_10_modified_asian.mp4,drink,squat,squat,incorrect
drink_10_modified_hispanic.mp4,drink,other,other,incorrect
drink_10_modified_indian.mp4,drink,other,other,incorrect
drink_10_modified_middle_eastern.mp4,drink,cartwheel,cartwheel,incorrect
drink_10_modified_south_east_asian.mp4,drink,other,other,incorrect
drink_11_initial.mp4,drink,yoga,yoga,incorrect
drink_11_modified_african.mp4,drink,cartwheel,cartwheel,incorrect
drink_11_modified_asian.mp4,drink,yoga,yoga,incorrect
drink_11_modified_hispanic.mp4,drink,yoga,yoga,incorrect
drink_11_modified_indian.mp4,drink,yoga,yoga,incorrect
drink_11_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect
drink_11_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect
drink_12_initial.mp4,drink,cartwheel,cartwheel,incorrect
drink_12_modified_asian.mp4,drink,cartwheel,cartwheel,incorrect
drink_12_modified_hispanic.mp4,drink,other,other,incorrect
drink_12_modified_indian.mp4,drink,other,other,incorrect
drink_12_modified_middle_eastern.mp4,drink,other,other,incorrect
drink_12_modified_south_east_asian.mp4,drink,other,other,incorrect
drink_12_modified_white.mp4,drink,cartwheel,cartwheel,incorrect
drink_13_initial.mp4,drink,other,other,incorrect
drink_13_modified_african.mp4,drink,other,other,incorrect
drink_13_modified_asian.mp4,drink,other,other,incorrect
drink_13_modified_hispanic.mp4,drink,other,other,incorrect
drink_13_modified_indian.mp4,drink,other,other,incorrect
drink_13_modified_middle_eastern.mp4,drink,other,other,incorrect
drink_13_modified_south_east_asian.mp4,drink,other,other,incorrect
drink_14_initial.mp4,drink,cartwheel,cartwheel,incorrect
drink_14_modified_african.mp4,drink,cartwheel,cartwheel,incorrect
