video,true_label,raw_prediction,mapped_prediction,result,top5,skin_color_category
cartwheel_0_initial.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",white
cartwheel_0_modified_african.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",african
cartwheel_0_modified_asian.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",asian
cartwheel_0_modified_hispanic.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",hispanic
cartwheel_0_modified_indian.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,disc golfing,other,incorrect,"['other', 'other', 'other', 'other', 'other']",south_east_asian
cartwheel_10_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",white
cartwheel_10_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",african
cartwheel_10_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",asian
cartwheel_10_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",hispanic
cartwheel_10_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",indian
cartwheel_10_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",middle_eastern
cartwheel_10_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",south_east_asian
cartwheel_11_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",white
cartwheel_11_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",african
cartwheel_11_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",asian
cartwheel_11_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",hispanic
cartwheel_11_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",indian
cartwheel_11_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",middle_eastern
cartwheel_11_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",south_east_asian
cartwheel_12_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",african
cartwheel_12_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']",asian
