video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'cartwheel', 'stretch']"
cartwheel_0_modified_african.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'cartwheel', 'stretch', 'stretch']"
cartwheel_0_modified_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'cartwheel', 'stretch', 'stretch']"
cartwheel_0_modified_hispanic.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'cartwheel', 'stretch', 'stretch']"
cartwheel_0_modified_indian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'cartwheel', 'stretch', 'stretch']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'cartwheel', 'stretch']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'cartwheel', 'stretch', 'stretch']"
cartwheel_1_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'other', 'juggle', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'dance', 'other', 'juggle']"
cartwheel_1_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'other', 'juggle', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play sport', 'juggle', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,contact juggling,juggle,incorrect,"['juggle', 'juggle', 'other', 'bow', 'dance']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'juggle', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'other', 'juggle', 'bow']"
cartwheel_2_initial.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'stretch', 'other', 'other', 'swing body part']"
cartwheel_2_modified_african.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'stretch', 'swing body part', 'other', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,sword fighting,other,incorrect,"['other', 'kick', 'other', 'stretch', 'other']"
cartwheel_2_modified_hispanic.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'other', 'stretch', 'other', 'swing body part']"
cartwheel_2_modified_indian.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'stretch', 'other', 'other', 'swing body part']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'other', 'other', 'stretch', 'chop']"
cartwheel_2_modified_white.mp4,cartwheel,sword fighting,other,incorrect,"['other', 'kick', 'other', 'stretch', 'other']"
cartwheel_3_initial.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'bow', 'other', 'juggle', 'kick']"
cartwheel_3_modified_african.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'bow', 'juggle', 'other', 'other']"
cartwheel_3_modified_asian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'other', 'other', 'bow', 'chop']"
cartwheel_3_modified_hispanic.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'other', 'bow', 'other', 'juggle']"
cartwheel_3_modified_indian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'other', 'bow', 'dance', 'other']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'bow', 'other', 'juggle', 'other']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,throwing axe,other,incorrect,"['other', 'bow', 'other', 'other', 'chop']"
cartwheel_4_initial.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'juggle', 'other', 'bow']"
cartwheel_4_modified_african.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'juggle', 'other', 'bow', 'other']"
cartwheel_4_modified_asian.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'juggle', 'other', 'bow']"
cartwheel_4_modified_hispanic.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'juggle', 'other', 'bow']"
cartwheel_4_modified_indian.mp4,cartwheel,contact juggling,juggle,incorrect,"['juggle', 'other', 'other', 'other', 'bow']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'juggle', 'other', 'bow']"
cartwheel_4_modified_white.mp4,cartwheel,spinning poi,other,incorrect,"['other', 'other', 'juggle', 'other', 'bow']"
cartwheel_5_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'play sport', 'other', 'dribble', 'bow']"
cartwheel_5_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bend', 'bow', 'other', 'other']"
cartwheel_5_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play sport', 'dribble', 'bow']"
cartwheel_5_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play sport', 'other', 'dribble']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'bend', 'play sport', 'dribble']"
