video,true_label,raw_prediction,mapped_prediction,result,top5,camera_distance,background,skin_color_category
cartwheel_0_initial.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'interact with rope', 'dance', 'other']",camera_far,autumn_hockey,white
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'dance', 'other', 'swing body part', 'bow']",camera_far,autumn_hockey,african
cartwheel_0_modified_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'interact with rope', 'other', 'swing body part', 'dance']",camera_far,autumn_hockey,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,slacklining,other,incorrect,"['other', 'interact with rope', 'swing body part', 'dance', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'bow', 'dance', 'swing body part']",camera_far,autumn_hockey,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'interact with rope', 'dance', 'other']",camera_far,autumn_hockey,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'interact with rope', 'swing body part', 'dance']",camera_far,autumn_hockey,south_east_asian
cartwheel_1_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'golf', 'other']",camera_far,autumn_hockey,white
cartwheel_1_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'dance', 'arm movements', 'golf']",camera_far,autumn_hockey,african
cartwheel_1_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'kick', 'arm movements']",camera_far,autumn_hockey,asian
cartwheel_1_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'other', 'golf']",camera_far,autumn_hockey,hispanic
cartwheel_1_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'dance', 'arm movements', 'stretch']",camera_far,autumn_hockey,indian
cartwheel_1_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'other', 'stretch']",camera_far,autumn_hockey,middle_eastern
cartwheel_1_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'kick', 'other', 'jump rope']",camera_far,autumn_hockey,south_east_asian
cartwheel_2_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'arm movements', 'other', 'other']",camera_far,autumn_hockey,south_east_asian
cartwheel_2_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'arm movements', 'other', 'kick']",camera_far,autumn_hockey,african
cartwheel_2_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'yoga', 'other', 'other', 'other']",camera_far,autumn_hockey,asian
cartwheel_2_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'arm movements', 'other']",camera_far,autumn_hockey,hispanic
cartwheel_2_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'arm movements', 'other']",camera_far,autumn_hockey,indian
