video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'bend', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'throw', 'other', 'jump']"
cartwheel_1_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'throw', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'other', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'other', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'other', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'throw', 'cartwheel', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'other', 'throw', 'cartwheel']"
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'golf']"
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']"
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'other']"
cartwheel_2_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'other']"
cartwheel_3_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'golf', 'jump']"
cartwheel_3_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'jump', 'other']"
cartwheel_3_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'golf', 'jump']"
cartwheel_3_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'jump']"
cartwheel_3_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'golf', 'cartwheel', 'jump', 'other']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'jump', 'golf']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'golf', 'other', 'jump']"
cartwheel_4_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'jump']"
cartwheel_4_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']"
cartwheel_4_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']"
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']"
cartwheel_4_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']"
cartwheel_4_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'other']"
cartwheel_5_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'golf']"
cartwheel_5_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'golf']"
cartwheel_5_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'bend']"
cartwheel_5_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'throw']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'throw', 'jump']"
