video,true_label,raw_prediction,mapped_prediction,result
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_10_initial.mp4,cartwheel,passing American football (not in game),other,incorrect
cartwheel_11_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_12_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_13_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_14_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_15_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_16_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_17_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_18_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_19_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_1_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_20_initial.mp4,cartwheel,passing American football (not in game),other,incorrect
cartwheel_21_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_22_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_23_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_24_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_25_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_26_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_27_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_28_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_29_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_30_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_31_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_32_initial.mp4,cartwheel,passing American football (not in game),other,incorrect
cartwheel_33_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_34_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_35_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_36_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
cartwheel_37_initial.mp4,cartwheel,cartwheeling,cartwheel,correct
