video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,slacklining,other,incorrect,"['other', 'dance', 'swing body part', 'arm movements', 'interact with rope']"
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'arm movements', 'dance', 'stretch']"
cartwheel_0_modified_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'swing body part', 'dance', 'arm movements', 'stretch']"
cartwheel_0_modified_hispanic.mp4,cartwheel,slacklining,other,incorrect,"['other', 'arm movements', 'swing body part', 'dance', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'arm movements', 'dance', 'swing body part', 'stretch']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'dance', 'arm movements', 'swing body part', 'interact with rope']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'dance', 'swing body part', 'arm movements', 'dance']"
cartwheel_1_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'jump rope', 'other', 'other', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'dance', 'other', 'dance', 'jump rope']"
cartwheel_1_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'jump rope', 'dance', 'dance']"
cartwheel_1_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'jump rope', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'dance', 'jump rope', 'dance']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'jump rope', 'other', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'jump rope', 'other', 'dance', 'other']"
cartwheel_2_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'swing body part', 'other', 'other', 'arm movements']"
cartwheel_2_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'swing body part', 'other', 'other', 'arm movements']"
cartwheel_2_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'bend', 'stretch']"
cartwheel_2_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'swing body part', 'other', 'other', 'arm movements']"
cartwheel_2_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'swing body part', 'other', 'other', 'arm movements']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'swing body part', 'other', 'bend', 'arm movements']"
cartwheel_2_modified_white.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'bend', 'arm movements']"
cartwheel_3_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'jump rope', 'other', 'other', 'arm movements']"
cartwheel_3_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'other', 'arm movements']"
cartwheel_3_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'jump rope', 'other', 'arm movements', 'other']"
cartwheel_3_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'other', 'dance']"
cartwheel_3_modified_indian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'other', 'arm movements']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'jump rope', 'arm movements']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'other', 'other', 'arm movements']"
cartwheel_4_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'bend', 'dance', 'other']"
cartwheel_4_modified_african.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'dance', 'other', 'other', 'bend']"
cartwheel_4_modified_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'interact with rope', 'bend', 'other', 'dance']"
cartwheel_4_modified_hispanic.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'bend', 'dance', 'other']"
cartwheel_4_modified_indian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'dance', 'bend', 'other', 'other']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'bend', 'dance', 'dance']"
cartwheel_4_modified_white.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'dance', 'bend', 'other']"
cartwheel_5_initial.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'stretch', 'other', 'arm movements']"
cartwheel_5_modified_african.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'other', 'stretch', 'other', 'arm movements']"
cartwheel_5_modified_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'other', 'other', 'arm movements']"
cartwheel_5_modified_hispanic.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'other', 'other', 'other']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'other', 'other', 'arm movements']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'other', 'other', 'arm movements']"
cartwheel_5_modified_white.mp4,cartwheel,swinging legs,swing body part,incorrect,"['swing body part', 'stretch', 'other', 'arm movements', 'stretch']"
cartwheel_6_initial.mp4,cartwheel,juggling balls,juggle,incorrect,"['juggle', 'swing body part', 'play instrument', 'other', 'other']"
cartwheel_6_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'juggle', 'play instrument', 'arm movements']"
cartwheel_6_modified_asian.mp4,cartwheel,playing trumpet,play instrument,incorrect,"['play instrument', 'other', 'swing body part', 'other', 'other']"
cartwheel_6_modified_indian.mp4,cartwheel,juggling balls,juggle,incorrect,"['juggle', 'other', 'other', 'other', 'play instrument']"
cartwheel_6_modified_middle_eastern.mp4,cartwheel,playing trumpet,play instrument,incorrect,"['play instrument', 'other', 'swing body part', 'jump rope', 'other']"
cartwheel_6_modified_south_east_asian.mp4,cartwheel,playing flute,other,incorrect,"['other', 'swing body part', 'juggle', 'other', 'other']"
cartwheel_6_modified_white.mp4,cartwheel,playing trumpet,play instrument,incorrect,"['play instrument', 'swing body part', 'other', 'other', 'jump rope']"
cartwheel_7_initial.mp4,cartwheel,push up,other,incorrect,"['other', 'other', 'wash', 'other', 'other']"
cartwheel_7_modified_african.mp4,cartwheel,push up,other,incorrect,"['other', 'other', 'other', 'other', 'wash']"
cartwheel_7_modified_asian.mp4,cartwheel,push up,other,incorrect,"['other', 'other', 'other', 'wash', 'other']"
cartwheel_7_modified_hispanic.mp4,cartwheel,push up,other,incorrect,"['other', 'wash', 'other', 'other', 'other']"
cartwheel_7_modified_indian.mp4,cartwheel,push up,other,incorrect,"['other', 'other', 'other', 'other', 'wash']"
