video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']"
cartwheel_0_modified_african.mp4,cartwheel,slacklining,other,incorrect,"['other', 'cartwheel', 'other', 'yoga', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']"
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']"
cartwheel_0_modified_indian.mp4,cartwheel,slacklining,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'yoga']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,slacklining,other,incorrect,"['other', 'other', 'cartwheel', 'throw', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']"
cartwheel_1_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'cartwheel', 'other', 'stretch']"
cartwheel_1_modified_african.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'kick']"
cartwheel_1_modified_asian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'cartwheel']"
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'kick']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'cartwheel', 'other', 'stretch']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'cartwheel', 'other', 'other']"
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']"
cartwheel_2_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'jump']"
cartwheel_2_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'jump']"
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']"
cartwheel_2_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'other', 'jump']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'jump']"
cartwheel_2_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'bend', 'other', 'other', 'jump']"
cartwheel_3_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'throw', 'other', 'golf']"
cartwheel_3_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'throw']"
cartwheel_3_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'golf', 'other']"
cartwheel_3_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'throw', 'other', 'other']"
cartwheel_3_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'throw', 'other']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'throw', 'other', 'other', 'other']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'throw', 'other']"
cartwheel_4_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']"
cartwheel_4_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_4_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'throw', 'other', 'other']"
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']"
cartwheel_4_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'throw']"
cartwheel_4_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'throw', 'other']"
cartwheel_5_initial.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'stretch']"
cartwheel_5_modified_african.mp4,cartwheel,hammer throw,other,incorrect,"['other', 'throw', 'other', 'other', 'other']"
cartwheel_5_modified_asian.mp4,cartwheel,hammer throw,other,incorrect,"['other', 'throw', 'other', 'other', 'jump']"
cartwheel_5_modified_hispanic.mp4,cartwheel,hammer throw,other,incorrect,"['other', 'throw', 'other', 'other', 'jump']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,hammer throw,other,incorrect,"['other', 'throw', 'other', 'other', 'other']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,throwing discus,throw,incorrect,"['throw', 'other', 'other', 'other', 'stretch']"
cartwheel_5_modified_white.mp4,cartwheel,hammer throw,other,incorrect,"['other', 'throw', 'other', 'other', 'other']"
cartwheel_6_initial.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'kick', 'other', 'other']"
cartwheel_6_modified_african.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'kick', 'other', 'other']"
cartwheel_6_modified_asian.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'other', 'kick', 'other']"
cartwheel_6_modified_indian.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'other', 'kick', 'golf']"
cartwheel_6_modified_middle_eastern.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'kick', 'other', 'golf']"
cartwheel_6_modified_south_east_asian.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'other', 'kick', 'golf']"
cartwheel_6_modified_white.mp4,cartwheel,hugging,hug,incorrect,"['hug', 'other', 'other', 'kick', 'other']"
cartwheel_7_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_7_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'golf', 'kick']"
cartwheel_7_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_7_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_7_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'golf']"
cartwheel_7_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'kick']"
cartwheel_7_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
