video,true_label,raw_prediction,mapped_prediction,result,camera_distance,background,skin_color_category
cartwheel_0_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_0_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_0_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,camera_far,autumn_hockey,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_1_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_1_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_1_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_1_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_1_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_1_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_1_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_2_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_2_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_2_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_2_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_2_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_3_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_3_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_3_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_3_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_3_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_3_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_4_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_4_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_4_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_4_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_4_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_4_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_5_initial.mp4,cartwheel,yoga,yoga,incorrect,camera_far,autumn_hockey,indian
cartwheel_5_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_5_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_5_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_5_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_5_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect,camera_far,autumn_hockey,south_east_asian
cartwheel_5_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_6_initial.mp4,cartwheel,jog,jog,incorrect,camera_far,autumn_hockey,hispanic
cartwheel_6_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_6_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_6_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_6_modified_middle_eastern.mp4,cartwheel,jog,jog,incorrect,camera_far,autumn_hockey,middle_eastern
cartwheel_6_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_6_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_7_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_7_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_7_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_7_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_7_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_7_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_7_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_8_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,white
cartwheel_8_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_8_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,asian
cartwheel_8_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_8_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_8_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_8_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
cartwheel_9_initial.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,african
cartwheel_9_modified_asian.mp4,cartwheel,yoga,yoga,incorrect,camera_far,autumn_hockey,asian
cartwheel_9_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,hispanic
cartwheel_9_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,indian
cartwheel_9_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,middle_eastern
cartwheel_9_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,camera_far,autumn_hockey,south_east_asian
