base_video,from,to,prediction_from,prediction_to,result_from,result_to
cartwheel_19,african,asian,cartwheel,yoga,correct,incorrect
cartwheel_4,african,asian,cartwheel,yoga,correct,incorrect
lunge_15,african,asian,lunge,cartwheel,correct,incorrect
lunge_9,african,asian,lunge,squat,correct,incorrect
squat_10,african,asian,squat,yoga,correct,incorrect
squat_16,african,asian,squat,cartwheel,correct,incorrect
squat_8,african,asian,squat,yoga,correct,incorrect
cartwheel_16,african,hispanic,cartwheel,yoga,correct,incorrect
cartwheel_19,african,hispanic,cartwheel,yoga,correct,incorrect
lunge_9,african,hispanic,lunge,yoga,correct,incorrect
squat_12,african,hispanic,squat,yoga,correct,incorrect
squat_23,african,hispanic,squat,yoga,correct,incorrect
yoga_14,african,hispanic,yoga,squat,correct,incorrect
cartwheel_19,african,indian,cartwheel,yoga,correct,incorrect
cartwheel_4,african,indian,cartwheel,yoga,correct,incorrect
lunge_9,african,indian,lunge,squat,correct,incorrect
squat_23,african,indian,squat,yoga,correct,incorrect
yoga_14,african,indian,yoga,squat,correct,incorrect
cartwheel_13,african,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_16,african,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_19,african,middle_eastern,cartwheel,yoga,correct,incorrect
lunge_9,african,middle_eastern,lunge,squat,correct,incorrect
squat_12,african,middle_eastern,squat,yoga,correct,incorrect
squat_16,african,middle_eastern,squat,cartwheel,correct,incorrect
yoga_14,african,middle_eastern,yoga,squat,correct,incorrect
cartwheel_19,african,south_east_asian,cartwheel,yoga,correct,incorrect
cartwheel_24,african,south_east_asian,cartwheel,yoga,correct,incorrect
cartwheel_4,african,south_east_asian,cartwheel,yoga,correct,incorrect
squat_23,african,south_east_asian,squat,yoga,correct,incorrect
cartwheel_16,african,white,cartwheel,yoga,correct,incorrect
cartwheel_19,african,white,cartwheel,yoga,correct,incorrect
lunge_9,african,white,lunge,yoga,correct,incorrect
squat_10,african,white,squat,cartwheel,correct,incorrect
squat_23,african,white,squat,yoga,correct,incorrect
cartwheel_20,asian,african,cartwheel,yoga,correct,incorrect
cartwheel_5,asian,african,cartwheel,yoga,correct,incorrect
squat_11,asian,african,squat,cartwheel,correct,incorrect
squat_2,asian,african,squat,cartwheel,correct,incorrect
squat_5,asian,african,squat,cartwheel,correct,incorrect
yoga_11,asian,african,yoga,cartwheel,correct,incorrect
yoga_18,asian,african,yoga,other,correct,incorrect
yoga_21,asian,african,yoga,cartwheel,correct,incorrect
yoga_22,asian,african,yoga,cartwheel,correct,incorrect
yoga_3,asian,african,yoga,lunge,correct,incorrect
cartwheel_16,asian,hispanic,cartwheel,yoga,correct,incorrect
cartwheel_5,asian,hispanic,cartwheel,yoga,correct,incorrect
squat_12,asian,hispanic,squat,yoga,correct,incorrect
squat_2,asian,hispanic,squat,yoga,correct,incorrect
squat_23,asian,hispanic,squat,yoga,correct,incorrect
yoga_11,asian,hispanic,yoga,cartwheel,correct,incorrect
yoga_14,asian,hispanic,yoga,squat,correct,incorrect
yoga_21,asian,hispanic,yoga,cartwheel,correct,incorrect
yoga_22,asian,hispanic,yoga,other,correct,incorrect
yoga_3,asian,hispanic,yoga,cartwheel,correct,incorrect
cartwheel_5,asian,indian,cartwheel,yoga,correct,incorrect
squat_11,asian,indian,squat,yoga,correct,incorrect
squat_23,asian,indian,squat,yoga,correct,incorrect
yoga_11,asian,indian,yoga,cartwheel,correct,incorrect
yoga_14,asian,indian,yoga,squat,correct,incorrect
yoga_18,asian,indian,yoga,other,correct,incorrect
yoga_21,asian,indian,yoga,lunge,correct,incorrect
yoga_22,asian,indian,yoga,other,correct,incorrect
cartwheel_13,asian,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_16,asian,middle_eastern,cartwheel,yoga,correct,incorrect
squat_11,asian,middle_eastern,squat,yoga,correct,incorrect
squat_12,asian,middle_eastern,squat,yoga,correct,incorrect
squat_2,asian,middle_eastern,squat,yoga,correct,incorrect
