video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'kick', 'stretch', 'swing body part']"
cartwheel_0_modified_african.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'kick', 'stretch', 'yoga', 'stretch']"
cartwheel_0_modified_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'kick', 'yoga', 'stretch', 'stretch']"
cartwheel_0_modified_hispanic.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'kick', 'stretch']"
cartwheel_0_modified_indian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'kick', 'stretch', 'yoga', 'dance']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'kick', 'swing body part', 'stretch']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'kick', 'yoga', 'stretch', 'stretch']"
cartwheel_1_initial.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'other', 'other', 'head movements']"
cartwheel_1_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'perform', 'other', 'other', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'head movements', 'other', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'head movements', 'other', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'head movements', 'other', 'tie', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'head movements', 'other', 'other', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'head movements', 'other', 'other', 'other']"
cartwheel_2_initial.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'other', 'kick']"
cartwheel_2_modified_african.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'other', 'kick']"
cartwheel_2_modified_asian.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'other', 'kick']"
cartwheel_2_modified_hispanic.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'kick', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'kick', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,situp,squat,incorrect,"['squat', 'other', 'other', 'kick', 'other']"
