video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'arm movements', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'cartwheel', 'arm movements']"
cartwheel_0_modified_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'stretch', 'arm movements']"
cartwheel_0_modified_hispanic.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'stretch', 'arm movements']"
cartwheel_0_modified_indian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'cartwheel', 'stretch']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'other', 'arm movements']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,bending back,bend,incorrect,"['bend', 'yoga', 'stretch', 'arm movements', 'cartwheel']"
cartwheel_1_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'bow', 'other', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'play sport', 'bow', 'other', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'other', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play sport', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'other', 'juggle', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'other', 'throw']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'play sport', 'other', 'other', 'other']"
cartwheel_2_initial.mp4,cartwheel,cleaning windows,clean something,incorrect,"['clean something', 'throw', 'swing body part', 'other', 'clasp hands']"
cartwheel_2_modified_african.mp4,cartwheel,cleaning windows,clean something,incorrect,"['clean something', 'other', 'swing body part', 'throw', 'clasp hands']"
cartwheel_2_modified_asian.mp4,cartwheel,cleaning windows,clean something,incorrect,"['clean something', 'throw', 'clasp hands', 'other', 'swing body part']"
cartwheel_2_modified_hispanic.mp4,cartwheel,mowing lawn,other,incorrect,"['other', 'clean something', 'throw', 'swing body part', 'clasp hands']"
cartwheel_2_modified_indian.mp4,cartwheel,cleaning windows,clean something,incorrect,"['clean something', 'throw', 'other', 'swing body part', 'clasp hands']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cleaning windows,clean something,incorrect,"['clean something', 'throw', 'other', 'clasp hands', 'clap']"
cartwheel_2_modified_white.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'clean something', 'clasp hands', 'other', 'swing body part']"
cartwheel_3_initial.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'other', 'juggle', 'other', 'other']"
cartwheel_3_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'bow', 'juggle', 'other', 'juggle']"
cartwheel_3_modified_asian.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'other', 'juggle', 'bow', 'other']"
cartwheel_3_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'other', 'other', 'other']"
cartwheel_3_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'juggle', 'throw', 'other']"
cartwheel_3_modified_middle_eastern.mp4,cartwheel,juggling balls,juggle,incorrect,"['juggle', 'juggle', 'other', 'bow', 'other']"
cartwheel_3_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'other', 'throw', 'bow']"
cartwheel_4_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'other', 'juggle']"
cartwheel_4_modified_african.mp4,cartwheel,archery,bow,incorrect,"['bow', 'other', 'other', 'other', 'juggle']"
cartwheel_4_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'bow', 'play catch']"
cartwheel_4_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'other', 'other', 'juggle']"
cartwheel_4_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'other', 'other', 'play catch']"
cartwheel_4_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'other', 'juggle']"
cartwheel_4_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'play catch', 'other']"
cartwheel_5_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'play sport', 'other', 'other']"
cartwheel_5_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'other', 'other', 'other']"
cartwheel_5_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'other', 'other', 'other']"
cartwheel_5_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bow', 'other', 'play catch']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'bend', 'juggle', 'other']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'bow', 'other', 'other', 'play sport']"
cartwheel_5_modified_white.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'bow', 'other']"
cartwheel_6_initial.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'raise body part', 'other', 'other', 'arm movements']"
cartwheel_6_modified_african.mp4,cartwheel,front raises,raise body part,incorrect,"['raise body part', 'stretch', 'other', 'arm movements', 'other']"
cartwheel_6_modified_asian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'raise body part', 'arm movements', 'yoga', 'other']"
cartwheel_6_modified_indian.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'raise body part', 'arm movements', 'other', 'other']"
cartwheel_6_modified_middle_eastern.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'raise body part', 'other', 'arm movements', 'other']"
cartwheel_6_modified_south_east_asian.mp4,cartwheel,front raises,raise body part,incorrect,"['raise body part', 'stretch', 'other', 'arm movements', 'other']"
cartwheel_6_modified_white.mp4,cartwheel,stretching arm,stretch,incorrect,"['stretch', 'raise body part', 'arm movements', 'other', 'yoga']"
cartwheel_7_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'play catch', 'juggle', 'other']"
cartwheel_7_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'juggle', 'play catch', 'bow']"
cartwheel_7_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'other', 'juggle']"
cartwheel_7_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'juggle', 'other']"
cartwheel_7_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'juggle', 'play catch', 'clasp hands']"
cartwheel_7_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'juggle', 'play catch', 'other']"
cartwheel_7_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'juggle', 'play catch', 'other']"
cartwheel_8_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'juggle', 'other', 'yoga']"
cartwheel_8_modified_african.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'juggle', 'juggle', 'other', 'other']"
cartwheel_8_modified_asian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'other', 'juggle', 'play sport', 'juggle']"
cartwheel_8_modified_hispanic.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'juggle', 'other', 'juggle', 'other']"
cartwheel_8_modified_indian.mp4,cartwheel,beatboxing,other,incorrect,"['other', 'juggle', 'juggle', 'other', 'play sport']"
cartwheel_8_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'juggle', 'juggle', 'other', 'other']"
cartwheel_8_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'juggle', 'play sport', 'other']"
cartwheel_9_initial.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'other', 'other', 'other']"
cartwheel_9_modified_asian.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'other', 'other', 'juggle']"
cartwheel_9_modified_hispanic.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'other', 'other', 'other']"
cartwheel_9_modified_indian.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'other', 'other', 'other']"
cartwheel_9_modified_middle_eastern.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'juggle', 'other', 'other']"
cartwheel_9_modified_south_east_asian.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'other', 'other', 'juggle']"
cartwheel_9_modified_white.mp4,cartwheel,shaking hands,clasp hands,incorrect,"['clasp hands', 'other', 'juggle', 'other', 'other']"
celebrate_0_initial.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'play catch', 'other', 'other']"
celebrate_0_modified_african.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'clean something', 'play catch', 'other']"
celebrate_0_modified_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'other']"
celebrate_0_modified_hispanic.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'play catch']"
celebrate_0_modified_indian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'clean something', 'play catch', 'other']"
celebrate_0_modified_middle_eastern.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'play catch']"
celebrate_0_modified_south_east_asian.mp4,celebrate,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'play catch', 'other']"
celebrate_1_initial.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'other']"
celebrate_1_modified_african.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'throw']"
celebrate_1_modified_asian.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'juggle', 'play catch']"
celebrate_1_modified_hispanic.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'juggle']"
celebrate_1_modified_indian.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'juggle']"
celebrate_1_modified_middle_eastern.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'juggle']"
celebrate_1_modified_south_east_asian.mp4,celebrate,tai chi,other,incorrect,"['other', 'other', 'other', 'play catch', 'juggle']"
celebrate_2_initial.mp4,celebrate,drinking beer,drink,incorrect,"['drink', 'drink', 'other', 'other', 'other']"
celebrate_2_modified_african.mp4,celebrate,finger snapping,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
celebrate_2_modified_asian.mp4,celebrate,blowing nose,other,incorrect,"['other', 'other', 'other', 'clean something', 'drink']"
