video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'yoga']"
cartwheel_0_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_10_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_10_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_10_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_10_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_11_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_11_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_12_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_12_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_12_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'cartwheel', 'other']"
cartwheel_13_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_13_modified_indian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_13_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_14_initial.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_14_modified_african.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'cartwheel']"
cartwheel_14_modified_hispanic.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_14_modified_indian.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_14_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'cartwheel']"
cartwheel_15_initial.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'cartwheel']"
cartwheel_15_modified_african.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_asian.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_hispanic.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_indian.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_middle_eastern.mp4,cartwheel,throwing discus,other,incorrect,"['other', 'other', 'other', 'other', 'cartwheel']"
cartwheel_15_modified_south_east_asian.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_16_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_17_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_17_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_17_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_17_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_17_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_17_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_17_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_18_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_18_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_18_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_18_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_18_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_18_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_18_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_19_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_19_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_19_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_19_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_19_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_19_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_19_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_1_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_1_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_1_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_1_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_20_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_20_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'cartwheel']"
cartwheel_20_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_20_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_20_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_20_modified_south_east_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_20_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_21_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_21_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_21_modified_asian.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_21_modified_hispanic.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_21_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'cartwheel', 'other', 'other']"
cartwheel_21_modified_south_east_asian.mp4,cartwheel,somersaulting,other,incorrect,"['other', 'cartwheel', 'other', 'other', 'other']"
cartwheel_21_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_22_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_22_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_22_modified_hispanic.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_22_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
