video,true_label,raw_prediction,mapped_prediction,result,skin_color_category
cartwheel_0_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_0_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_0_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_10_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_10_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_10_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_10_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_10_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_10_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_10_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_11_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_11_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_11_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_11_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_11_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_11_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_11_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_12_initial.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_12_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_12_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_12_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_12_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_12_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_12_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_13_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_13_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_13_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_13_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_13_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_13_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_13_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_14_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_14_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_14_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_14_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_14_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_14_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_14_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_15_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_15_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_15_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_15_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_15_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_15_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_15_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_16_initial.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_16_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_16_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect,hispanic
cartwheel_16_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_16_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_16_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_16_modified_white.mp4,cartwheel,yoga,yoga,incorrect,white
