video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'jump', 'cartwheel', 'other', 'actions with ball']"
cartwheel_0_modified_african.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'other', 'jump', 'squat']"
cartwheel_0_modified_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'squat']"
cartwheel_0_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'jump', 'cartwheel', 'other', 'squat']"
cartwheel_0_modified_indian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'squat']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'jump', 'cartwheel', 'other', 'actions with ball']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'squat']"
cartwheel_1_initial.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'juggle']"
cartwheel_1_modified_african.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'throw', 'actions with ball', 'other']"
cartwheel_1_modified_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'stretch']"
cartwheel_1_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'stretch']"
cartwheel_1_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'actions with ball', 'stretch']"
cartwheel_1_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'actions with ball']"
cartwheel_1_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'throw', 'other', 'other', 'actions with ball']"
cartwheel_2_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'throw', 'play catch', 'actions with ball', 'other']"
cartwheel_2_modified_african.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'cartwheel', 'play catch', 'actions with ball', 'other']"
cartwheel_2_modified_asian.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'cartwheel', 'actions with ball', 'other', 'play catch']"
cartwheel_2_modified_hispanic.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'cartwheel', 'play catch', 'actions with ball', 'other']"
cartwheel_2_modified_indian.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'play catch', 'cartwheel', 'actions with ball', 'other']"
cartwheel_2_modified_middle_eastern.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'other', 'cartwheel', 'actions with ball', 'clean something']"
cartwheel_2_modified_white.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'other', 'actions with ball', 'play catch', 'cartwheel']"
cartwheel_3_initial.mp4,cartwheel,hurling (sport),throw,incorrect,"['throw', 'other', 'other', 'stretch', 'other']"
