video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_0_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_african.mp4,cartwheel,golf chipping,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_asian.mp4,cartwheel,carrying baby,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_hispanic.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_indian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_middle_eastern.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_0_modified_south_east_asian.mp4,cartwheel,catching or throwing frisbee,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_10_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_10_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_11_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_12_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'other']"
cartwheel_13_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_13_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_14_modified_south_east_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_initial.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_african.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_asian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_hispanic.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_indian.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
cartwheel_15_modified_middle_eastern.mp4,cartwheel,passing American football (not in game),other,incorrect,"['other', 'other', 'other', 'other', 'other']"
